manager=angioletto33-26bf317c-4d50-431d-90f7-8b6fc37a9bbc  gw=football-21-24-jul-2026  competizione=Under 23 – Limited

POOL (slug, ruolo, grade, delta_odds, livello_odds, atteso_raw)
  kai-wagner                     DEF  grade=6 delta=None livello=0.31000000000000005 atteso_raw=61.09
  nouhou-tolo                    DEF  grade=5 delta=-0.1421214285714286 livello=0.07999999999999996 atteso_raw=57.46
  finn-surman                    DEF  grade=4 delta=0.29857142857142854 livello=0.07999999999999996 atteso_raw=55.78
  gabriel-armando-de-abreu       DEF  grade=6 delta=0.43429285714285715 livello=0.49 atteso_raw=55.50
  gonzalo-ruben-piovi            DEF  grade=4 delta=0.34709999999999996 livello=0.5599 atteso_raw=54.33
  gonzalo-ruben-piovi            DEF  grade=4 delta=0.34709999999999996 livello=0.5599 atteso_raw=54.33
  milan-skriniar                 DEF  grade=4 delta=0.34928571428571437 livello=0.7000000000000001 atteso_raw=54.21
  leonardo-morales               DEF  grade=4 delta=0.08823529411764704 livello=0.09999999999999998 atteso_raw=54.00
  thiago-martins-bueno           DEF  grade=4 delta=-0.28125 livello=-0.24 atteso_raw=53.95
  gustavo-henrique-vernes        DEF  grade=None delta=0.46316315789473683 livello=0.49 atteso_raw=53.60
  daley-blind                    DEF  grade=5 delta=None livello=None atteso_raw=53.06
  nolan-norris                   DEF  grade=None delta=-0.03600999999999996 livello=-0.07999999999999996 atteso_raw=52.51
  steven-moreira                 DEF  grade=1 delta=0.03385384615384615 livello=0.24 atteso_raw=52.48
  xavier-ricardo-arreaga-bermello DEF  grade=4 delta=0.485 livello=0.42999999999999994 atteso_raw=51.16
  gustavo-raul-gomez-portillo    DEF  grade=4 delta=-0.02944444444444444 livello=0.19 atteso_raw=50.46
  aaron-long                     DEF  grade=1 delta=None livello=0.32000000000000006 atteso_raw=50.09
  jack-elliott                   DEF  grade=4 delta=-0.29081666666666667 livello=-0.040000000000000036 atteso_raw=49.83
  joaquin-piquerez-moreira       DEF  grade=3 delta=-0.07833333333333337 livello=0.19 atteso_raw=49.28
  jon-gallagher                  DEF  grade=None delta=0.11076153846153852 livello=-0.07999999999999996 atteso_raw=49.14
  alexandro-ezequiel-bernabei    DEF  grade=None delta=0.048947368421052656 livello=0.09000000000000002 atteso_raw=46.39
  jahkeele-marshall-rutty        DEF  grade=3 delta=-0.31909090909090915 livello=-0.31000000000000005 atteso_raw=46.14
  morris-duggan                  DEF  grade=3 delta=0.20374375 livello=0.13 atteso_raw=45.89
  carlos-eccehomo-cuesta-figueroa DEF  grade=None delta=-0.03583333333333331 livello=-0.03999999999999998 atteso_raw=45.02
  michael-boxall                 DEF  grade=3 delta=0.214 livello=0.13 atteso_raw=42.53
  oscar-anthony-verhoeven        DEF  grade=None delta=-0.16445555555555555 livello=-0.21999999999999997 atteso_raw=41.01
