player_slug,player_name,tipo_carta,potenziale_score,ultima_partita_score,l5,l10,l40,min_attuale_eur,media_transazioni_7gg_trimmed_eur,n_transazioni_usate,sconto_percent,prossima_partita_data,ore_alla_partita
miha-zajc,Miha Zajc,misto,0.87,79.9,60.0,56.0,55.0,0.95,12.5,45/47,92.4,2026-07-28T18:00:00Z,91.8
michele-sego,Michele Šego,misto,0.6904,60.0,50.0,47.0,53.0,0.79,10.85,29/31,92.72,2026-07-30T17:00:00Z,138.8
stephen-kingsley,Stephen Kingsley,misto,0.6658,0.0,49.0,50.0,49.0,0.33,8.17,28/30,95.91,2026-07-28T18:45:00Z,92.6
stuart-findlay,Stuart Findlay,misto,0.6582,0.0,35.0,48.0,56.0,0.34,6.09,42/44,94.37,2026-07-28T18:45:00Z,92.6
alexandros-gogic,Alex Gogic,misto,0.6547,46.14,55.0,48.0,44.0,0.34,4.83,39/41,92.95,2026-08-01T14:00:00Z,183.8
emmanuel-agyei,Emmanuel Agyei,misto,0.65,42.5,47.0,52.0,55.0,0.49,7.36,33/35,93.35,2026-07-31T19:00:00Z,164.8
maurice-malone,Maurice Malone,misto,0.6306,0.0,39.0,37.0,41.0,0.35,2.5,27/29,86.03,2026-07-28T18:45:00Z,92.5
aleksa-latkovic,Aleksa Latković,misto,0.6191,35.0,40.0,55.0,51.0,0.59,5.51,20/22,89.29,2026-07-30T16:00:00Z,137.8
oscar-james-moncrieff-priestman,Oscar Priestman,misto,0.6105,35.0,32.0,38.0,41.0,0.33,5.36,29/31,93.77,2026-07-30T17:00:00Z,138.8
gavin-molloy,Gavin Molloy,misto,0.6048,32.08,41.0,38.0,40.0,0.38,5.08,28/30,92.57,2026-08-01T16:30:00Z,186.3
silvio-gorican,Silvio Goričan,misto,0.5914,32.6,35.0,39.0,38.0,0.33,2.56,16/18,86.95,2026-08-01T16:30:00Z,186.3
alexander-nubel,Alexander Nübel,misto,0.544,71.4,71.0,43.0,46.0,5.02,5.16,49/51,2.73,2026-07-30T17:00:00Z,138.8
rocky-bushiri-1999-11-30,Rocky Bushiri,misto,0.536,0.0,42.0,49.0,48.0,0.33,4.95,32/34,93.25,2026-07-30T19:00:00Z,140.8
ante-palaversa,Ante Palaversa,misto,0.5229,0.0,40.0,38.0,40.0,0.33,4.1,26/28,91.95,2026-08-01T16:30:00Z,186.3
merveille-ndockyt,Merveille Ndockyt,misto,0.5201,0.0,47.0,43.0,42.0,0.33,2.58,17/19,87.05,2026-07-30T17:30:00Z,139.3
carlos-henrique-casimiro,Casemiro,misto,0.4702,78.3,60.0,59.0,56.0,3.35,5.04,76/78,33.49,2026-07-25T23:30:00Z,25.3
theo-leoni,Théo Leoni,misto,0.4187,68.3,66.0,63.0,60.0,2.7,2.61,17/19,-3.29,2026-08-08T18:45:00Z,356.5
rodrigo-bassani-da-cruz,Rodrigo Bassani,in season,0.4115,73.6,60.0,50.0,50.0,1.69,1.96,14/16,13.74,2026-07-26T10:30:00Z,36.3
guilherme-augusto-vieira-dos-santos,Guilherme,in season,0.3846,56.9,66.0,67.0,64.0,47.6,54.06,50/52,11.95,2026-07-26T00:30:00Z,26.3
jesus-ferreira,Jesús Ferreira,in season,0.3803,44.5,58.0,60.0,53.0,5.4,7.92,38/40,31.79,2026-07-25T23:30:00Z,25.3
ignacio-pena-sotorres,Iñaki Peña,misto,0.373,26.3,26.0,46.0,49.0,1.55,1.33,16/18,-16.65,2026-07-30T18:30:00Z,140.3
telasco-jose-segovia-perez,Telasco Segovia,in season,0.3624,60.7,53.0,55.0,49.0,5.45,5.8,45/47,6.08,2026-07-25T23:30:00Z,25.3
justin-che,Justin Che,in season,0.3534,45.32,48.0,55.0,55.0,5.9,7.43,42/44,20.57,2026-07-25T22:30:00Z,24.3
joey-veerman,Joey Veerman,misto,0.3494,42.5,45.0,62.0,69.0,11.8,11.52,29/31,-2.41,2026-08-08T18:00:00Z,355.8
drake-callender,Drake Callender,in season,0.3475,47.9,38.0,46.0,47.0,5.2,6.59,45/47,21.12,2026-07-26T00:30:00Z,26.3
anderson-de-oliveira-da-silva,Anderson Oliveira,in season,0.3387,72.1,62.0,53.0,48.0,5.29,4.35,51/53,-21.54,2026-07-26T10:30:00Z,36.3
beau-leroux,Beau Leroux,in season,0.338,54.4,53.0,58.0,53.0,9.0,9.0,49/51,-0.02,2026-07-26T02:30:00Z,28.3
steven-moreira,Steven Moreira,in season,0.3303,39.86,39.0,41.0,43.0,0.8,1.06,34/36,24.57,2026-07-25T23:15:00Z,25.0
gautier-larsonneur,Gautier Larsonneur,misto,0.325,43.9,54.0,51.0,52.0,2.5,2.24,15/17,-11.64,2026-08-08T18:45:00Z,356.5
sebastian-berhalter,Sebastian Berhalter,in season,0.3097,0.0,52.0,58.0,64.0,7.0,14.38,76/78,51.33,2026-07-26T00:30:00Z,26.3
valdemar-byskov-andreasen,Valdemar Andreasen,misto,0.3031,34.0,53.0,48.0,48.0,1.29,1.47,17/19,11.82,2026-07-26T12:00:00Z,37.8
adrian-marin-gomez,Adrián Marín,in season,0.2938,41.68,40.0,50.0,46.0,1.9,1.92,21/23,0.82,2026-07-25T23:30:00Z,25.3
dominik-greif,Dominik Greif,misto,0.2901,22.7,44.0,52.0,57.0,10.5,10.34,46/48,-1.57,2026-08-04T00:00:00Z,241.8
ho-jae-lee,Lee Ho-Jae,classic,0.2704,45.4,46.0,53.0,53.0,0.78,0.98,14/16,20.47,2026-07-25T10:30:00Z,12.3
mateusz-bogusz,Mateusz Bogusz,in season,0.2418,42.0,46.0,46.0,43.0,2.8,2.23,25/27,-25.34,2026-07-26T00:30:00Z,26.3
