player_slug,player_name,league_slug,tipo_carta,potenziale_score,squadra,prossimo_avversario,ultima_partita_score,l5,l10,l40,min_attuale_eur,media_transazioni_7gg_trimmed_eur,n_transazioni_usate,sconto_percent,prossima_partita_data,ore_alla_partita,ultimo_tipo_evento
alexander-hartmann-bah,Alexander Bah,primeira-liga-pt,misto,0.6072,SL Benfica,FC Sankt Gallen 1879 (casa),35.6,58.0,51.0,49.0,1.02,5.0,37/39,79.61,2026-07-30T19:00:00Z,128.1,in_season
daniel-neill,Daniel Neil,premiership-gb-sct,misto,0.5665,Rangers FC,Dundee United FC (trasferta),35.1,38.0,40.0,40.0,3.26,10.83,46/48,69.89,2026-07-31T19:00:00Z,152.0,in_season
in-beom-hwang,Hwang In-Beom,primeira-liga-pt,misto,0.5524,FC Porto,Alverca (casa),54.3,60.0,53.0,51.0,1.4,11.05,35/37,87.33,2026-08-09T17:00:00Z,366.2,in_season
antoine-griezmann,Antoine Griezmann,mlspa,in season,0.4548,Orlando City SC,Nashville SC (casa),79.6,65.0,59.0,52.0,11.0,30.48,93/95,63.91,2026-07-25T23:30:00Z,12.5,in_season
luis-javier-suarez-charris,Luis Suárez,primeira-liga-pt,misto,0.4429,Sporting Clube de Portugal,CF Estrela da Amadora (trasferta),30.1,40.0,55.0,57.0,8.2,23.97,43/45,65.8,2026-08-08T19:30:00Z,344.6,in_season
manuel-garcia-alonso,Manu García,mlspa,in season,0.3597,Sporting Kansas City ,Los Angeles FC (trasferta),71.2,71.0,53.0,52.0,4.59,6.27,50/52,26.84,2026-07-26T02:30:00Z,15.6,in_season
jonathan-bamba,Jonathan Bamba,mlspa,in season,0.3029,Chicago Fire FC,New York City FC (trasferta),50.0,41.0,54.0,52.0,2.0,2.95,26/28,32.18,2026-07-25T23:30:00Z,12.7,in_season
carles-gil-de-pareja-vicent,Carles Gil,mlspa,in season,0.3012,New England Revolution,Atlanta United (casa),55.7,67.0,70.0,68.0,50.98,56.46,47/49,9.71,2026-07-25T23:30:00Z,12.7,in_season
albert-rusnak,Albert Rusnák,mlspa,in season,0.3011,Seattle Sounders FC,Philadelphia Union (trasferta),44.2,54.0,60.0,54.0,8.57,12.85,28/30,33.29,2026-07-25T23:30:00Z,12.5,in_season
marcus-ingvartsen,Marcus Ingvartsen,mlspa,in season,0.2866,San Diego FC,FC Dallas (casa),47.9,57.0,54.0,49.0,4.68,6.12,54/56,23.42,2026-07-26T01:30:00Z,14.7,in_season
aleksey-miranchuk,Aleksey Miranchuk,mlspa,in season,0.2796,Atlanta United,New England Revolution (trasferta),39.7,53.0,54.0,54.0,4.11,5.87,31/33,29.91,2026-07-25T23:30:00Z,12.6,in_season
enea-mihaj,Enea Mihaj,mlspa,in season,0.276,Atlanta United,New England Revolution (trasferta),32.86,44.0,46.0,46.0,1.14,2.0,16/18,42.94,2026-07-25T23:30:00Z,12.6,in_season
lucas-adrian-hoyos,Lucas Hoyos,mlspa,in season,0.2591,Atlanta United,New England Revolution (trasferta),57.4,45.0,43.0,40.0,3.75,3.98,59/61,5.81,2026-07-25T23:30:00Z,12.7,in_season
duran-michael-ferree,Duran Ferree,mlspa,in season,0.1868,San Diego FC,FC Dallas (casa),0.0,60.0,46.0,50.0,6.0,9.14,30/32,34.38,2026-07-26T01:30:00Z,14.6,in_season
novak-micovic,Novak Mićović,mlspa,in season,0.1773,LA Galaxy,San Jose Earthquakes (trasferta),0.0,32.0,43.0,45.0,1.71,2.79,17/19,38.63,2026-07-26T02:30:00Z,15.5,in_season
thomas-guilier,Thomas Guillier,mlspa,in season,0.1561,CF Montreal,Inter Miami CF (casa),0.0,53.0,42.0,45.0,4.7,6.11,38/40,23.06,2026-07-25T23:30:00Z,12.6,in_season
