giorni_da_partita,n_transazioni,prezzo_medio_normalizzato,scostamento_percent
-17,13,1.0569,5.69
-16,35,1.0563,5.63
-15,74,0.95,-5.0
-14,79,0.9555,-4.45
-13,97,0.9615,-3.85
-12,141,1.005,0.5
-11,124,1.0117,1.17
-10,131,1.0704,7.04
-9,103,0.9201,-7.99
-8,54,1.0446,4.46
-7,15,1.0215,2.15
-6,18,1.0998,9.98
-5,9,1.0006,0.06
-4,9,0.8486,-15.14
-3,736,0.9315,-6.85
-2,329,1.033,3.3
-1,788,1.063,6.3
0,699,1.0132,1.32
1,1041,1.0281,2.81
2,449,0.966,-3.4
3,653,0.9544,-4.56
4,6,0.6496,-35.04
13,8,1.194,19.4
14,7,0.8605,-13.95
