player_slug,player_name,segnale,punteggio_occasione,motivo_segnale,link_sorare,league_slug,tipo_carta,potenziale_score,squadra,prossimo_avversario,ultima_partita_score,l5,l10,l40,min_attuale_eur,media_transazioni_7gg_trimmed_eur,n_transazioni_usate,sconto_percent,trend_recente,media_transazioni_recente_eur,media_transazioni_storica_eur,prossima_partita_data,ore_alla_partita,finestra_acquisto_ideale,aggiornato_il,ultimo_tipo_evento
anis-hadj-moussa,Anis Hadj Moussa,COMPRA ORA,12.3,"sconto 25% | trend in calo | partita tra 9.7gg, fuori finestra",https://sorare.com/it/football/players/anis-hadj-moussa,eredivisie,classic,0.2855,Feyenoord Rotterdam,Sparta Rotterdam (trasferta),37.9,48.0,57.0,57.0,3.0,3.98,15/17,24.7,down,2.99,4.05,2026-08-09T10:15:00Z,232.6,05/08 22:15-06/08 22:15 UTC,2026-07-30T17:36:27+00:00,classic
dusan-tadic,Dušan Tadić,buona occasione,6.5,"sconto 11% | trend in salita | partita tra 5.0gg, fuori finestra",https://sorare.com/it/football/players/dusan-tadic,eredivisie,classic,0.3037,N.E.C. Nijmegen,Olympiakos CFP (trasferta),51.3,59.0,61.0,61.0,2.75,3.08,68/70,10.68,up,3.3,3.04,2026-08-04T18:00:00Z,120.4,01/08 06:00-02/08 06:00 UTC,2026-07-30T17:37:43+00:00,classic
maarten-paes,Maarten Paes,buona occasione,6.0,"sconto 13% | trend in salita | partita tra 0h, finestra passata (prezzi in premio)",https://sorare.com/it/football/players/maarten-paes,eredivisie,classic,0.2132,AFC Ajax,FK Vojvodina Novi Sad (casa),42.6,56.0,53.0,51.0,4.1,4.69,86/88,12.62,up,5.07,4.62,2026-07-30T18:00:00Z,0.4,finestra gia' passata,2026-07-30T17:36:32+00:00,classic
leo-kokubo,Leo Kokubo,neutro,2.7,"sconto 6% | trend stabile | partita tra 9.0gg, fuori finestra",https://sorare.com/it/football/players/leo-kokubo,jupiler-pro-league,classic,0.1872,Sint-Truidense VV,Lommel SK (casa),0.0,40.0,49.0,51.0,2.8,2.99,15/17,6.38,flat,3.0,2.96,2026-08-08T18:45:00Z,217.1,05/08 06:45-06/08 06:45 UTC,2026-07-30T17:39:20+00:00,classic
jorthy-mokio,Jorthy Mokio,neutro,2.4,"sconto 10% | trend in calo | partita tra 0h, finestra passata (prezzi in premio)",https://sorare.com/it/football/players/jorthy-mokio,eredivisie,classic,0.1719,AFC Ajax,FK Vojvodina Novi Sad (casa),37.2,54.0,55.0,47.0,4.82,5.37,15/17,10.21,down,4.99,5.44,2026-07-30T18:00:00Z,0.4,finestra gia' passata,2026-07-30T17:36:15+00:00,classic
sven-mijnans,Sven Mijnans,neutro,1.7,"sconto 6% | trend in calo | partita tra 9.0gg, fuori finestra",https://sorare.com/it/football/players/sven-mijnans,eredivisie,classic,0.2913,PSV Eindhoven,Fortuna Sittard (casa),86.5,49.0,59.0,57.0,4.67,4.98,20/22,6.24,down,4.74,5.01,2026-08-08T18:00:00Z,216.4,05/08 06:00-06/08 06:00 UTC,2026-07-30T17:38:00+00:00,classic
luciano-valente,Luciano Valente,neutro,0.6,"sconto 3% | trend in calo | partita tra 9.7gg, fuori finestra",https://sorare.com/it/football/players/luciano-valente,eredivisie,classic,0.2919,Feyenoord Rotterdam,Sparta Rotterdam (trasferta),85.4,55.0,52.0,51.0,3.0,3.08,15/17,2.7,down,2.75,3.2,2026-08-09T10:15:00Z,232.6,05/08 22:15-06/08 22:15 UTC,2026-07-30T17:36:41+00:00,classic
oscar-gluh,Oscar Gloukh,neutro,0.6,"sconto 2% | trend stabile | partita tra 0h, finestra passata (prezzi in premio)",https://sorare.com/it/football/players/oscar-gluh,eredivisie,classic,0.213,AFC Ajax,FK Vojvodina Novi Sad (casa),74.2,57.0,47.0,52.0,4.36,4.47,33/35,2.5,flat,4.47,4.52,2026-07-30T18:00:00Z,0.4,finestra gia' passata,2026-07-30T17:36:23+00:00,classic
gonzalo-alejandro-crettaz,Gonzalo Crettaz,neutro,0.5,"sconto 1% | trend in salita | partita tra 5.0gg, fuori finestra",https://sorare.com/it/football/players/gonzalo-alejandro-crettaz,eredivisie,classic,0.2271,N.E.C. Nijmegen,Olympiakos CFP (trasferta),37.3,46.0,45.0,46.0,5.0,5.06,27/29,1.24,up,5.26,4.96,2026-08-04T18:00:00Z,120.4,01/08 06:00-02/08 06:00 UTC,2026-07-30T17:37:29+00:00,classic
bernt-klaverboer,Bernt Klaverboer,neutro,0.4,"sconto 1% | trend stabile | partita tra 9.9gg, fuori finestra",https://sorare.com/it/football/players/bernt-klaverboer,eredivisie,classic,0.202,sc Heerenveen,FC Twente (casa),17.4,54.0,53.0,43.0,5.81,5.88,18/20,1.27,flat,5.73,5.97,2026-08-09T14:45:00Z,237.1,06/08 02:45-07/08 02:45 UTC,2026-07-30T17:37:09+00:00,classic
