player_slug,player_name,link_sorare,league_slug,tipo_carta,potenziale_score,squadra,prossimo_avversario,ultima_partita_score,l5,l10,l40,min_attuale_eur,media_transazioni_7gg_trimmed_eur,n_transazioni_usate,sconto_percent,trend_recente,media_transazioni_recente_eur,media_transazioni_storica_eur,prossima_partita_data,ore_alla_partita,ultimo_tipo_evento
dae-won-kim,Kim Dae-Won,https://sorare.com/it/football/players/dae-won-kim,k-league-1,in season,0.6678,Gangwon FC,Bucheon FC 1995 (casa),87.7,67.0,65.0,55.0,10.99,13.9,16/18,20.93,flat,13.45,14.34,2026-08-01T10:30:00Z,86.2,in_season
seung-won-jung,Jeong Seung-Won,https://sorare.com/it/football/players/seung-won-jung,k-league-1,in season,0.6435,FC Seoul,Jeonbuk Hyundai Motors FC (trasferta),70.3,72.0,60.0,48.0,6.0,7.62,23/25,21.26,flat,7.68,7.53,2026-08-01T10:30:00Z,86.1,in_season
juan-antonio-ros-martinez,Ros,https://sorare.com/it/football/players/juan-antonio-ros-martinez,k-league-1,in season,0.6039,FC Seoul,Jeonbuk Hyundai Motors FC (trasferta),59.18,60.0,55.0,57.0,3.2,4.75,13/15,32.7,down,3.46,5.07,2026-08-01T10:30:00Z,86.1,in_season
hrvoje-babec,Hrvoje Babec,https://sorare.com/it/football/players/hrvoje-babec,k-league-1,in season,0.5912,FC Seoul,Jeonbuk Hyundai Motors FC (trasferta),48.2,48.0,54.0,49.0,2.1,3.47,19/21,39.39,down,2.51,3.82,2026-08-01T10:30:00Z,86.1,in_season
ho-jae-lee,Lee Ho-Jae,https://sorare.com/it/football/players/ho-jae-lee,k-league-1,in season,0.5786,Pohang Steelers FC,Gimcheon Sangmu (casa),48.2,46.0,47.0,53.0,2.2,3.31,22/24,33.49,down,2.61,3.38,2026-08-01T10:30:00Z,86.1,in_season
gi-hyuk-lee,Lee Gi-Hyeok,https://sorare.com/it/football/players/gi-hyuk-lee,k-league-1,in season,0.5643,Gangwon FC,Bucheon FC 1995 (casa),78.3,79.0,68.0,62.0,11.5,10.84,28/30,-6.06,up,12.08,10.53,2026-08-01T10:30:00Z,86.2,in_season
joon-hyuck-kang,Kang Joon-Hyuck,https://sorare.com/it/football/players/joon-hyuck-kang,k-league-1,in season,0.5472,Gangwon FC,Bucheon FC 1995 (casa),47.72,63.0,70.0,56.0,10.6,10.97,17/19,3.41,flat,11.83,10.86,2026-08-01T10:30:00Z,86.2,in_season
jin-gyu-kim,KIM JIN-GYU,https://sorare.com/it/football/players/jin-gyu-kim,k-league-1,in season,0.5149,Jeonbuk Hyundai Motors FC,FC Seoul (casa),39.4,54.0,55.0,55.0,5.8,5.84,18/20,0.73,down,4.78,5.98,2026-08-01T10:30:00Z,86.2,in_season
anderson-de-oliveira-da-silva,Anderson Oliveira,https://sorare.com/it/football/players/anderson-de-oliveira-da-silva,k-league-1,in season,0.5141,FC Seoul,Jeonbuk Hyundai Motors FC (trasferta),43.5,54.0,53.0,48.0,3.74,3.66,27/29,-2.06,down,2.75,3.74,2026-08-01T10:30:00Z,86.1,in_season
marko-tuci,TUCI,https://sorare.com/it/football/players/marko-tuci,k-league-1,in season,0.4998,Gangwon FC,Bucheon FC 1995 (casa),0.0,54.0,61.0,55.0,2.3,3.06,15/17,24.84,down,2.06,3.4,2026-08-01T10:30:00Z,86.2,in_season
jakob-tranziska,Jakob Tranziska,https://sorare.com/it/football/players/jakob-tranziska,k-league-1,in season,0.4962,Pohang Steelers FC,Gimcheon Sangmu (casa),48.4,62.0,53.0,47.0,4.21,3.85,14/16,-9.35,flat,3.87,3.85,2026-08-01T10:30:00Z,86.1,in_season
ho-jin-kim,Kim Ho-Jin,https://sorare.com/it/football/players/ho-jin-kim,k-league-1,in season,0.4954,Pohang Steelers FC,Gimcheon Sangmu (casa),44.22,47.0,57.0,57.0,1.75,1.62,13/15,-8.18,,,1.62,2026-08-01T10:30:00Z,86.1,in_season
sung-yun-gu,GU SUNG YUN,https://sorare.com/it/football/players/sung-yun-gu,k-league-1,classic,0.4863,FC Seoul,Jeonbuk Hyundai Motors FC (trasferta),25.4,51.0,51.0,49.0,3.8,3.75,20/22,-1.36,down,3.15,3.78,2026-08-01T10:30:00Z,86.1,classic
jae-hyun-mo,Mo Jae-Hyeon,https://sorare.com/it/football/players/jae-hyun-mo,k-league-1,in season,0.4558,Gangwon FC,Bucheon FC 1995 (casa),0.0,50.0,51.0,52.0,1.52,1.56,16/18,2.94,down,1.45,1.61,2026-08-01T10:30:00Z,86.2,in_season
seung-seop-kim,Kim Seung-Sub,https://sorare.com/it/football/players/seung-seop-kim,k-league-1,in season,0.4486,Jeonbuk Hyundai Motors FC,FC Seoul (casa),36.5,38.0,42.0,47.0,1.0,0.88,17/19,-13.48,flat,0.85,0.88,2026-08-01T10:30:00Z,86.2,in_season
seung-mo-lee,Lee Seung-Mo,https://sorare.com/it/football/players/seung-mo-lee,k-league-1,in season,0.4316,FC Seoul,Jeonbuk Hyundai Motors FC (trasferta),28.1,38.0,45.0,46.0,1.04,0.93,18/20,-12.43,up,1.2,0.91,2026-08-01T10:30:00Z,86.1,in_season
matheus-oliveira-santos,Matheus Oliveira,https://sorare.com/it/football/players/matheus-oliveira-santos,k-league-1,in season,0.2874,FC Anyang,Ulsan Hyundai Horang-i (trasferta),41.7,72.0,64.0,60.0,11.1,14.15,24/26,21.52,down,12.62,14.47,2026-08-02T10:30:00Z,110.0,in_season
joo-yong-lee,Lee Ju-Yong,https://sorare.com/it/football/players/joo-yong-lee,k-league-1,in season,0.2822,Incheon United FC,Jeju SK FC (trasferta),50.62,57.0,57.0,56.0,2.65,3.19,14/16,16.85,down,2.38,3.45,2026-08-02T10:30:00Z,110.2,in_season
dong-heon-kim,Kim Dong-Hyun,https://sorare.com/it/football/players/dong-heon-kim,k-league-1,in season,0.2812,Incheon United FC,Jeju SK FC (trasferta),39.6,51.0,51.0,49.0,4.74,5.8,15/17,18.29,,,5.8,2026-08-02T10:30:00Z,110.2,in_season
seo-jae-min,Seo Jae-Min,https://sorare.com/it/football/players/seo-jae-min,k-league-1,in season,0.2761,Incheon United FC,Jeju SK FC (trasferta),60.6,59.0,60.0,56.0,6.4,6.53,13/15,1.87,flat,6.65,6.43,2026-08-02T10:30:00Z,110.2,in_season
darijan-bojanic,Darijan Bojanić,https://sorare.com/it/football/players/darijan-bojanic,k-league-1,in season,0.266,Ulsan Hyundai Horang-i,FC Anyang (casa),41.8,45.0,50.0,52.0,2.63,3.3,17/19,20.23,down,2.92,3.47,2026-08-02T10:30:00Z,110.1,in_season
matheus-oliveira-santos,Matheus Oliveira,https://sorare.com/it/football/players/matheus-oliveira-santos,k-league-1,classic,0.2644,FC Anyang,Ulsan Hyundai Horang-i (trasferta),41.7,72.0,64.0,60.0,5.6,5.84,19/21,4.18,flat,5.94,5.82,2026-08-02T10:30:00Z,110.0,classic
dong-kyung-lee,Lee Dong-Gyeong,https://sorare.com/it/football/players/dong-kyung-lee,k-league-1,in season,0.2591,Ulsan Hyundai Horang-i,FC Anyang (casa),79.2,63.0,65.0,63.0,11.5,10.42,21/23,-10.31,up,12.84,9.31,2026-08-02T10:30:00Z,110.1,in_season
dong-jun-kim,Kim Dong-Jun,https://sorare.com/it/football/players/dong-jun-kim,k-league-1,in season,0.2322,Jeju SK FC,Incheon United FC (casa),55.0,51.0,48.0,52.0,3.21,3.03,16/18,-5.88,flat,3.02,3.02,2026-08-02T10:30:00Z,110.2,in_season
julien-celestine,Julien Célestine,https://sorare.com/it/football/players/julien-celestine,k-league-1,in season,0.2128,Jeju SK FC,Incheon United FC (casa),0.0,65.0,55.0,58.0,2.04,2.5,16/18,18.4,down,2.05,2.58,2026-08-02T10:30:00Z,110.2,in_season
hyun-woo-cho,Jo Hyeon-Woo,https://sorare.com/it/football/players/hyun-woo-cho,k-league-1,classic,0.2115,Ulsan Hyundai Horang-i,FC Anyang (casa),60.0,47.0,51.0,51.0,1.45,1.3,19/21,-11.31,up,1.51,1.23,2026-08-02T10:30:00Z,110.1,classic
chang-geun-lee,Lee Chang-Geun,https://sorare.com/it/football/players/chang-geun-lee,k-league-1,in season,0.1821,Daejeon Citizen FC,Gwangju FC (casa),27.1,49.0,49.0,49.0,5.04,4.67,15/17,-7.86,flat,4.45,4.74,2026-08-02T10:30:00Z,110.2,in_season
juan-fernandez-blanco,Juan Ibiza,https://sorare.com/it/football/players/juan-fernandez-blanco,k-league-1,in season,0.1723,Incheon United FC,Jeju SK FC (trasferta),32.66,53.0,59.0,53.0,4.9,4.27,15/17,-14.72,flat,4.64,4.25,2026-08-02T10:30:00Z,110.2,in_season
bum-keun-song,SONG BUMKEUN,https://sorare.com/it/football/players/bum-keun-song,k-league-1,in season,0.1499,Jeonbuk Hyundai Motors FC,FC Seoul (casa),76.6,63.0,66.0,59.0,8.6,7.25,29/31,-18.67,up,8.57,6.84,2026-08-01T10:30:00Z,86.1,in_season
dae-won-kim,Kim Dae-Won,https://sorare.com/it/football/players/dae-won-kim,k-league-1,classic,0.1471,Gangwon FC,Bucheon FC 1995 (casa),87.7,67.0,65.0,55.0,5.06,4.05,30/32,-24.79,up,5.26,3.87,2026-08-01T10:30:00Z,86.2,classic
jin-su-kim,Kim Jin-Su,https://sorare.com/it/football/players/jin-su-kim,k-league-1,in season,0.1446,FC Seoul,Jeonbuk Hyundai Motors FC (trasferta),53.84,52.0,55.0,57.0,3.16,2.33,14/16,-35.58,down,2.17,2.45,2026-08-01T10:30:00Z,86.1,in_season
gi-hyuk-lee,Lee Gi-Hyeok,https://sorare.com/it/football/players/gi-hyuk-lee,k-league-1,classic,0.1391,Gangwon FC,Bucheon FC 1995 (casa),78.3,79.0,68.0,62.0,5.19,3.81,19/21,-36.06,up,5.2,3.63,2026-08-01T10:30:00Z,86.2,classic
cheong-hyo-park,Park Cheong-Hyo,https://sorare.com/it/football/players/cheong-hyo-park,k-league-1,in season,0.1326,Gangwon FC,Bucheon FC 1995 (casa),28.4,49.0,58.0,51.0,10.11,8.79,26/28,-15.05,flat,9.16,8.53,2026-08-01T10:30:00Z,86.2,in_season
lee-jae-won,Lee Jae-Won,https://sorare.com/it/football/players/lee-jae-won,k-league-1,in season,0.1191,Bucheon FC 1995,Gangwon FC (trasferta),0.0,60.0,39.0,39.0,1.13,0.86,13/15,-31.87,down,0.69,0.88,2026-08-01T10:30:00Z,86.0,in_season
yago-cariello-ribeiro,YAGO,https://sorare.com/it/football/players/yago-cariello-ribeiro,k-league-1,in season,0.0633,Ulsan Hyundai Horang-i,FC Anyang (casa),63.1,58.0,49.0,55.0,2.89,2.48,17/19,-16.7,flat,2.36,2.48,2026-08-02T10:30:00Z,110.1,in_season
kim-gun-hee,Kim Geon-Hui,https://sorare.com/it/football/players/kim-gun-hee,k-league-1,in season,0.0584,Incheon United FC,Jeju SK FC (trasferta),62.36,71.0,65.0,60.0,9.94,7.98,21/23,-24.49,flat,8.53,7.82,2026-08-02T10:30:00Z,110.2,in_season
