player_slug,player_name,link_sorare,league_slug,tipo_carta,potenziale_score,squadra,prossimo_avversario,ultima_partita_score,l5,l10,l40,min_attuale_eur,media_transazioni_7gg_trimmed_eur,n_transazioni_usate,sconto_percent,trend_recente,media_transazioni_recente_eur,media_transazioni_storica_eur,prossima_partita_data,ore_alla_partita,finestra_acquisto_ideale,ultimo_tipo_evento
dae-won-kim,Kim Dae-Won,https://sorare.com/it/football/players/dae-won-kim,k-league-1,in season,0.6304,Gangwon FC,Bucheon FC 1995 (casa),87.7,67.0,65.0,55.0,10.24,12.88,19/21,20.51,down,10.8,14.95,2026-08-01T10:30:00Z,50.7,finestra gia' passata,in_season
seung-won-jung,Jeong Seung-Won,https://sorare.com/it/football/players/seung-won-jung,k-league-1,in season,0.6274,FC Seoul,Jeonbuk Hyundai Motors FC (trasferta),70.3,72.0,60.0,48.0,4.82,7.23,26/28,33.33,down,5.44,8.08,2026-08-01T10:30:00Z,50.7,finestra gia' passata,in_season
patryk-klimala,Patryk Klimala,https://sorare.com/it/football/players/patryk-klimala,k-league-1,in season,0.6214,FC Seoul,Jeonbuk Hyundai Motors FC (trasferta),38.2,55.0,48.0,49.0,1.75,4.9,15/17,64.22,down,2.02,5.6,2026-08-01T10:30:00Z,72.9,finestra gia' passata,in_season
dong-kyung-lee,Lee Dong-Gyeong,https://sorare.com/it/football/players/dong-kyung-lee,k-league-1,in season,0.6197,Ulsan Hyundai Horang-i,FC Anyang (casa),79.2,63.0,65.0,63.0,10.2,11.2,24/26,8.89,up,12.15,10.3,2026-08-02T10:30:00Z,74.7,29/07 22:30-30/07 22:30 UTC,in_season
gi-hyuk-lee,Lee Gi-Hyeok,https://sorare.com/it/football/players/gi-hyuk-lee,k-league-1,in season,0.6151,Gangwon FC,Bucheon FC 1995 (casa),78.3,79.0,68.0,62.0,10.5,11.32,28/30,7.25,flat,12.0,10.91,2026-08-01T10:30:00Z,50.7,finestra gia' passata,in_season
juan-antonio-ros-martinez,Ros,https://sorare.com/it/football/players/juan-antonio-ros-martinez,k-league-1,in season,0.6126,FC Seoul,Jeonbuk Hyundai Motors FC (trasferta),59.18,60.0,55.0,57.0,2.6,4.17,17/19,37.68,down,2.97,4.87,2026-08-01T10:30:00Z,62.8,finestra gia' passata,in_season
kim-gun-hee,Kim Geon-Hui,https://sorare.com/it/football/players/kim-gun-hee,k-league-1,in season,0.6105,Incheon United FC,Jeju SK FC (trasferta),62.36,71.0,65.0,60.0,7.0,8.17,20/22,14.28,flat,8.17,8.27,2026-08-02T10:30:00Z,74.7,29/07 22:30-30/07 22:30 UTC,in_season
seo-jae-min,Seo Jae-Min,https://sorare.com/it/football/players/seo-jae-min,k-league-1,in season,0.5816,Incheon United FC,Jeju SK FC (trasferta),60.6,59.0,60.0,56.0,5.24,6.41,13/15,18.26,down,5.4,6.65,2026-08-02T10:30:00Z,74.7,29/07 22:30-30/07 22:30 UTC,in_season
matheus-oliveira-santos,Matheus Oliveira,https://sorare.com/it/football/players/matheus-oliveira-santos,k-league-1,in season,0.5793,FC Anyang,Ulsan Hyundai Horang-i (trasferta),41.7,72.0,64.0,60.0,9.63,13.44,24/26,28.32,down,10.68,14.34,2026-08-02T10:30:00Z,74.7,29/07 22:30-30/07 22:30 UTC,in_season
hrvoje-babec,Hrvoje Babec,https://sorare.com/it/football/players/hrvoje-babec,k-league-1,in season,0.578,FC Seoul,Jeonbuk Hyundai Motors FC (trasferta),48.2,48.0,54.0,49.0,2.3,3.37,19/21,31.83,down,2.43,3.8,2026-08-01T10:30:00Z,72.9,finestra gia' passata,in_season
bum-keun-song,SONG BUMKEUN,https://sorare.com/it/football/players/bum-keun-song,k-league-1,classic,0.5757,Jeonbuk Hyundai Motors FC,FC Seoul (casa),76.6,63.0,66.0,59.0,4.49,4.46,15/17,-0.66,flat,4.49,4.43,2026-08-01T10:30:00Z,50.7,finestra gia' passata,classic
anderson-de-oliveira-da-silva,Anderson Oliveira,https://sorare.com/it/football/players/anderson-de-oliveira-da-silva,k-league-1,in season,0.5754,FC Seoul,Jeonbuk Hyundai Motors FC (trasferta),43.5,54.0,53.0,48.0,2.89,4.31,19/21,32.97,down,3.81,4.37,2026-08-01T10:30:00Z,50.7,finestra gia' passata,in_season
jae-hyun-mo,Mo Jae-Hyeon,https://sorare.com/it/football/players/jae-hyun-mo,k-league-1,in season,0.5725,Gangwon FC,Bucheon FC 1995 (casa),0.0,50.0,51.0,52.0,1.0,1.53,15/17,34.81,flat,1.45,1.58,2026-08-01T10:30:00Z,72.9,finestra gia' passata,in_season
oberdan-alionco-de-lima,Oberdan,https://sorare.com/it/football/players/oberdan-alionco-de-lima,k-league-1,in season,0.5691,Jeonbuk Hyundai Motors FC,FC Seoul (casa),46.5,53.0,57.0,54.0,3.61,4.86,17/19,25.71,down,3.26,6.45,2026-08-01T10:30:00Z,50.7,finestra gia' passata,in_season
dong-kyung-lee,Lee Dong-Gyeong,https://sorare.com/it/football/players/dong-kyung-lee,k-league-1,classic,0.5679,Ulsan Hyundai Horang-i,FC Anyang (casa),79.2,63.0,65.0,63.0,3.73,3.61,14/16,-3.45,up,3.99,3.55,2026-08-02T10:30:00Z,74.7,29/07 22:30-30/07 22:30 UTC,classic
dae-won-kim,Kim Dae-Won,https://sorare.com/it/football/players/dae-won-kim,k-league-1,classic,0.5673,Gangwon FC,Bucheon FC 1995 (casa),87.7,67.0,65.0,55.0,4.4,4.13,29/31,-6.48,up,4.8,3.9,2026-08-01T10:30:00Z,50.7,finestra gia' passata,classic
juan-fernandez-blanco,Juan Ibiza,https://sorare.com/it/football/players/juan-fernandez-blanco,k-league-1,in season,0.5643,Incheon United FC,Jeju SK FC (trasferta),32.66,53.0,59.0,53.0,3.61,4.36,14/16,17.28,flat,4.04,4.39,2026-08-02T10:30:00Z,74.7,29/07 22:30-30/07 22:30 UTC,in_season
joon-hyuck-kang,Kang Joon-Hyuck,https://sorare.com/it/football/players/joon-hyuck-kang,k-league-1,in season,0.5637,Gangwon FC,Bucheon FC 1995 (casa),47.72,63.0,70.0,56.0,8.98,10.72,19/21,16.25,down,9.14,11.47,2026-08-01T10:30:00Z,50.7,finestra gia' passata,in_season
