player_slug,player_name,segnale,punteggio_occasione,motivo_segnale,link_sorare,league_slug,tipo_carta,potenziale_score,squadra,prossimo_avversario,ultima_partita_score,l5,l10,l40,min_attuale_eur,media_transazioni_7gg_trimmed_eur,n_transazioni_usate,sconto_percent,trend_recente,media_transazioni_recente_eur,media_transazioni_storica_eur,prossima_partita_data,ore_alla_partita,finestra_acquisto_ideale,aggiornato_il,ultimo_tipo_evento
matheus-oliveira-santos,Matheus Oliveira,COMPRA ORA,22.3,sconto 30% | trend in calo | DENTRO la finestra ideale ora,https://sorare.com/it/football/players/matheus-oliveira-santos,k-league-1,in season,0.5969,FC Anyang,Ulsan Hyundai Horang-i (trasferta),41.7,72.0,64.0,60.0,9.32,13.23,24/26,29.53,down,10.5,13.66,2026-08-02T10:30:00Z,66.7,29/07 22:30-30/07 22:30 UTC,2026-07-30T15:50:45+00:00,in_season
juan-fernandez-blanco,Juan Ibiza,COMPRA ORA,14.5,sconto 22% | trend in calo | DENTRO la finestra ideale ora,https://sorare.com/it/football/players/juan-fernandez-blanco,k-league-1,in season,0.5539,Incheon United FC,Jeju SK FC (trasferta),32.66,53.0,59.0,53.0,3.45,4.42,13/15,22.01,down,2.32,4.5,2026-08-02T10:30:00Z,66.7,29/07 22:30-30/07 22:30 UTC,2026-07-30T15:50:49+00:00,in_season
seo-jae-min,Seo Jae-Min,COMPRA ORA,11.5,sconto 19% | trend in calo | DENTRO la finestra ideale ora,https://sorare.com/it/football/players/seo-jae-min,k-league-1,in season,0.5933,Incheon United FC,Jeju SK FC (trasferta),60.6,59.0,60.0,56.0,4.99,6.18,14/16,19.2,down,5.32,6.46,2026-08-02T10:30:00Z,66.7,29/07 22:30-30/07 22:30 UTC,2026-07-30T15:50:51+00:00,in_season
seung-won-jung,Jeong Seung-Won,COMPRA ORA,10.9,"sconto 28% | trend in calo | partita tra 43h, finestra passata (prezzi in premio)",https://sorare.com/it/football/players/seung-won-jung,k-league-1,in season,0.2721,FC Seoul,Jeonbuk Hyundai Motors FC (trasferta),70.3,72.0,60.0,48.0,5.32,7.35,23/25,27.7,down,5.26,7.8,2026-08-01T10:30:00Z,42.7,finestra gia' passata,2026-07-30T15:50:58+00:00,in_season
dae-won-kim,Kim Dae-Won,buona occasione,9.9,"sconto 26% | trend in calo | partita tra 43h, finestra passata (prezzi in premio)",https://sorare.com/it/football/players/dae-won-kim,k-league-1,in season,0.2932,Gangwon FC,Bucheon FC 1995 (casa),87.7,67.0,65.0,55.0,9.0,12.13,21/23,25.81,down,10.43,13.64,2026-08-01T10:30:00Z,42.7,finestra gia' passata,2026-07-30T15:50:48+00:00,in_season
kim-gun-hee,Kim Geon-Hui,buona occasione,9.7,sconto 17% | trend in calo | DENTRO la finestra ideale ora,https://sorare.com/it/football/players/kim-gun-hee,k-league-1,in season,0.6001,Incheon United FC,Jeju SK FC (trasferta),62.36,71.0,65.0,60.0,6.58,7.96,21/23,17.38,down,6.79,8.35,2026-08-02T10:30:00Z,66.7,29/07 22:30-30/07 22:30 UTC,2026-07-30T15:50:52+00:00,in_season
joon-hyuck-kang,Kang Joon-Hyuck,buona occasione,7.9,"sconto 22% | trend in calo | partita tra 43h, finestra passata (prezzi in premio)",https://sorare.com/it/football/players/joon-hyuck-kang,k-league-1,in season,0.2261,Gangwon FC,Bucheon FC 1995 (casa),47.72,63.0,70.0,56.0,8.17,10.51,20/22,22.32,down,8.92,11.25,2026-08-01T10:30:00Z,42.7,finestra gia' passata,2026-07-30T15:50:48+00:00,in_season
chang-geun-lee,Lee Chang-Geun,buona occasione,7.7,sconto 16% | trend in calo | DENTRO la finestra ideale ora,https://sorare.com/it/football/players/chang-geun-lee,k-league-1,in season,0.525,Daejeon Citizen FC,Gwangju FC (casa),27.1,49.0,49.0,49.0,3.5,4.14,17/19,15.54,down,3.67,4.29,2026-08-02T10:30:00Z,66.7,29/07 22:30-30/07 22:30 UTC,2026-07-30T15:50:46+00:00,in_season
morgan-ferrier,Morgan Ferrier,buona occasione,6.1,sconto 13% | trend in calo | DENTRO la finestra ideale ora,https://sorare.com/it/football/players/morgan-ferrier,k-league-1,in season,0.5918,Incheon United FC,Jeju SK FC (trasferta),75.9,53.0,52.0,52.0,2.66,3.06,14/16,13.09,down,2.91,3.12,2026-08-02T10:30:00Z,66.7,29/07 22:30-30/07 22:30 UTC,2026-07-30T15:50:49+00:00,in_season
sung-yun-gu,GU SUNG YUN,buona occasione,6.0,"sconto 19% | trend in calo | partita tra 43h, finestra passata (prezzi in premio)",https://sorare.com/it/football/players/sung-yun-gu,k-league-1,in season,0.1714,FC Seoul,Jeonbuk Hyundai Motors FC (trasferta),25.4,51.0,51.0,49.0,5.5,6.77,15/17,18.79,down,6.07,6.97,2026-08-01T10:30:00Z,42.7,finestra gia' passata,2026-07-30T15:50:57+00:00,in_season
dong-kyung-lee,Lee Dong-Gyeong,buona occasione,5.6,sconto 9% | trend stabile | DENTRO la finestra ideale ora,https://sorare.com/it/football/players/dong-kyung-lee,k-league-1,in season,0.613,Ulsan Hyundai Horang-i,FC Anyang (casa),79.2,63.0,65.0,63.0,10.2,11.18,27/29,8.73,flat,11.25,11.16,2026-08-02T10:30:00Z,66.7,29/07 22:30-30/07 22:30 UTC,2026-07-30T15:50:59+00:00,in_season
sung-yun-gu,GU SUNG YUN,buona occasione,5.1,"sconto 15% | trend sconosciuto | partita tra 43h, finestra passata (prezzi in premio)",https://sorare.com/it/football/players/sung-yun-gu,k-league-1,classic,0.1735,FC Seoul,Jeonbuk Hyundai Motors FC (trasferta),25.4,51.0,51.0,49.0,3.16,3.72,17/19,15.06,,,3.72,2026-08-01T10:30:00Z,42.7,finestra gia' passata,2026-07-30T15:50:57+00:00,classic
