Consiglio difensori — 2026-07-27 10:27Z

1) melayro-bogarde: 61 pt (42-78)
   SQUADRA: lask-linz | AVVERSARIO: grazer-ak-graz
2) nicolas-wimmer: 56 pt (38-74)
   SQUADRA: wolfsberger-ac-wolfsberg | AVVERSARIO: austria-wien-wien
3) andres-andrade-cedeno: 54 pt (36-73)
   SQUADRA: lask-linz | AVVERSARIO: grazer-ak-graz
4) leon-klassen: 51 pt (33-67)
   SQUADRA: grazer-ak-graz | AVVERSARIO: lask-linz
5) bendeguz-bolla: 49 pt (23-70)
   SQUADRA: rapid-wien-wien | AVVERSARIO: fc-santa-coloma-andorra-la-vella
6) serge-philippe-raux-yao: 43 pt (21-60)
   SQUADRA: rapid-wien-wien | AVVERSARIO: fc-santa-coloma-andorra-la-vella
7) jeyland-yahir-mitchell-baltodano: 42 pt (10-68)
   SQUADRA: sturm-graz-graz | AVVERSARIO: hearts-edinburgh
8) nenad-n-cvetkovic: 34 pt (17-45)
   SQUADRA: rapid-wien-wien | AVVERSARIO: fc-santa-coloma-andorra-la-vella
9) rene-renner: 32 pt (16-47)
   SQUADRA: wolfsberger-ac-wolfsberg | AVVERSARIO: austria-wien-wien
10) anrie-chase: 5 pt (0-18)
   SQUADRA: salzburg-wals-siezenheim | AVVERSARIO: hartberg-hartberg

(0 esclusi/non disponibili questa giornata)
