Consiglio centrocampisti — 2026-07-27 10:27Z

1) manfred-fischer: 42 pt (20-58)
   SQUADRA: austria-wien-wien | AVVERSARIO: liepaja-liepaja
2) otar-kiteishvili: 42 pt (22-55)
   SQUADRA: sturm-graz-graz | AVVERSARIO: hearts-edinburgh
3) jon-gorenc-stankovic: 38 pt (26-54)
   SQUADRA: sturm-graz-graz | AVVERSARIO: hearts-edinburgh
4) ante-bajic: 36 pt (16-62)
   SQUADRA: ried-ried-im-innkreis | AVVERSARIO: austria-lustenau-lustenau
5) matthias-seidl: 36 pt (15-64)
   SQUADRA: rapid-wien-wien | AVVERSARIO: fc-santa-coloma-andorra-la-vella
6) kang-hee-lee: 31 pt (23-43)
   SQUADRA: austria-wien-wien | AVVERSARIO: liepaja-liepaja
7) sanel-saljic: 31 pt (16-59)
   SQUADRA: austria-wien-wien | AVVERSARIO: liepaja-liepaja
8) alessandro-schopf: 23 pt (7-38)
   SQUADRA: wolfsberger-ac-wolfsberg | AVVERSARIO: N/D
9) maurits-kjaergaard: 17 pt (6-28)
   SQUADRA: salzburg-wals-siezenheim | AVVERSARIO: hartberg-hartberg

(0 esclusi/non disponibili questa giornata)
