Consiglio difensori — 2026-07-27 11:41Z

1) aiham-ousou: 63 pt (43-87)
   SQUADRA: sporting-charleroi-charleroi | AVVERSARIO: oh-leuven-heverlee
2) brandon-mechele: 55 pt (40-68)
   SQUADRA: club-brugge-brugge | AVVERSARIO: kortrijk-kortrijk
3) moussa-n-diaye: 52 pt (30-75)
   SQUADRA: schalke-04-gelsenkirchen | AVVERSARIO: N/D
4) robert-jan-vanwesemael: 52 pt (37-63)
   SQUADRA: sint-truiden-sint-truiden-st-trond | AVVERSARIO: lommel-lommel
5) kevin-mac-allister: 51 pt (28-69)
   SQUADRA: union-saint-gilloise-bruxelles-brussels | AVVERSARIO: bodo-glimt-bodo
6) cheick-keita-2003-04-02: 50 pt (36-63)
   SQUADRA: sporting-charleroi-charleroi | AVVERSARIO: oh-leuven-heverlee
7) christian-burgess: 49 pt (28-78)
   SQUADRA: union-saint-gilloise-bruxelles-brussels | AVVERSARIO: N/D
8) joel-leandro-ordonez-guerrero: 49 pt (35-61)
   SQUADRA: club-brugge-brugge | AVVERSARIO: kortrijk-kortrijk
9) matte-smets: 49 pt (37-65)
   SQUADRA: genk-genk | AVVERSARIO: zulte-waregem-waregem
10) therence-koudou: 44 pt (21-73)
   SQUADRA: mechelen-mechelen-malines | AVVERSARIO: gent-gent
11) visar-musliu: 42 pt (28-49)
   SQUADRA: sint-truiden-sint-truiden-st-trond | AVVERSARIO: lommel-lommel
12) gary-magnee: 41 pt (17-66)
   SQUADRA: cercle-brugge-brugge | AVVERSARIO: standard-liege-liege-luik
13) tiago-filipe-alves-araujo: 39 pt (29-58)
   SQUADRA: gent-gent | AVVERSARIO: lnz-cherkasy-cherkasy
14) loic-mbe-soh: 38 pt (21-68)
   SQUADRA: sint-truiden-sint-truiden-st-trond | AVVERSARIO: lommel-lommel
15) mardochee-nzita-theto: 36 pt (23-54)
   SQUADRA: sporting-charleroi-charleroi | AVVERSARIO: oh-leuven-heverlee
16) kyriani-sabbe: 35 pt (18-62)
   SQUADRA: club-brugge-brugge | AVVERSARIO: kortrijk-kortrijk
17) redouane-halhal: 35 pt (24-52)
   SQUADRA: mechelen-mechelen-malines | AVVERSARIO: gent-gent
18) jose-martinez-marsa: 34 pt (16-49)
   SQUADRA: mechelen-mechelen-malines | AVVERSARIO: gent-gent
19) mujaid-sadick-aliu: 34 pt (30-39)
   SQUADRA: genk-genk | AVVERSARIO: zulte-waregem-waregem
20) tommy-st-jago: 34 pt (19-57)
   SQUADRA: mechelen-mechelen-malines | AVVERSARIO: gent-gent
21) christiaan-ravych: 31 pt (17-46)
   SQUADRA: cercle-brugge-brugge | AVVERSARIO: standard-liege-liege-luik
22) lucas-boel-hey: 28 pt (12-40)
   SQUADRA: anderlecht-bruxelles-brussel | AVVERSARIO: hammarby-stockholm
23) hugo-siquet: 27 pt (7-38)
   SQUADRA: club-brugge-brugge | AVVERSARIO: kortrijk-kortrijk
24) taiga-hata: 27 pt (8-51)
   SQUADRA: sint-truiden-sint-truiden-st-trond | AVVERSARIO: lommel-lommel
25) ludwig-augustinsson: 26 pt (16-38)
   SQUADRA: anderlecht-bruxelles-brussel | AVVERSARIO: hammarby-stockholm
26) laurent-lemoine: 25 pt (12-42)
   SQUADRA: zulte-waregem-waregem | AVVERSARIO: genk-genk
27) joedrick-pupe: 20 pt (0-43)
   SQUADRA: sint-truiden-sint-truiden-st-trond | AVVERSARIO: lommel-lommel
28) yaimar-abel-medina-ortiz: 19 pt (12-31)
   SQUADRA: genk-genk | AVVERSARIO: zulte-waregem-waregem
29) fedde-leysen: 17 pt (0-37)
   SQUADRA: union-saint-gilloise-bruxelles-brussels | AVVERSARIO: bodo-glimt-bodo
30) louis-patris: 12 pt (0-31)
   SQUADRA: union-saint-gilloise-bruxelles-brussels | AVVERSARIO: bodo-glimt-bodo
31) gora-diouf: 5 pt (0-9)
   SQUADRA: mechelen-mechelen-malines | AVVERSARIO: gent-gent
32) bjorn-meijer: 4 pt (0-27)
   SQUADRA: club-brugge-brugge | AVVERSARIO: kortrijk-kortrijk

(2 esclusi/non disponibili questa giornata)
