Consiglio attaccanti — 2026-07-27 11:39Z

1) jeppe-erenbjerg: 68 pt (51-87)
   SQUADRA: zulte-waregem-waregem | AVVERSARIO: genk-genk
2) nicolo-tresoldi: 67 pt (41-91)
   SQUADRA: club-brugge-brugge | AVVERSARIO: kortrijk-kortrijk
3) carlos-roberto-forbs-borges: 62 pt (41-75)
   SQUADRA: club-brugge-brugge | AVVERSARIO: kortrijk-kortrijk
4) anosike-ementa: 57 pt (42-82)
   SQUADRA: zulte-waregem-waregem | AVVERSARIO: genk-genk
5) anan-khalaili: 53 pt (41-74)
   SQUADRA: union-saint-gilloise-bruxelles-brussels | AVVERSARIO: bodo-glimt-bodo
6) junya-ito: 51 pt (32-67)
   SQUADRA: genk-genk | AVVERSARIO: zulte-waregem-waregem
7) aurelien-scheidler: 44 pt (31-63)
   SQUADRA: sporting-charleroi-charleroi | AVVERSARIO: oh-leuven-heverlee
8) ilias-sebaoui: 43 pt (30-62)
   SQUADRA: sint-truiden-sint-truiden-st-trond | AVVERSARIO: lommel-lommel
9) isa-sakamoto: 42 pt (32-62)
   SQUADRA: westerlo-westerlo | AVVERSARIO: union-saint-gilloise-bruxelles-brussels
10) patrick-pflucke: 39 pt (24-54)
   SQUADRA: sporting-charleroi-charleroi | AVVERSARIO: oh-leuven-heverlee
11) bruny-nsimba: 31 pt (10-47)
   SQUADRA: dender-denderleeuw | AVVERSARIO: N/D
12) luis-vasquez-2001-01-24: 23 pt (7-44)
   SQUADRA: getafe-getafe-madrid | AVVERSARIO: N/D
13) max-jimmy-dean: 17 pt (0-37)
   SQUADRA: gent-gent | AVVERSARIO: lnz-cherkasy-cherkasy
14) adriano-bertaccini: 16 pt (7-21)
   SQUADRA: anderlecht-bruxelles-brussel | AVVERSARIO: hammarby-stockholm
15) mamadou-diakhon: 16 pt (0-32)
   SQUADRA: club-brugge-brugge | AVVERSARIO: kortrijk-kortrijk
16) dante-vanzeir: 14 pt (0-27)
   SQUADRA: cercle-brugge-brugge | AVVERSARIO: standard-liege-liege-luik
17) kevin-jose-rodriguez-cortez: 12 pt (0-28)
   SQUADRA: union-saint-gilloise-bruxelles-brussels | AVVERSARIO: bodo-glimt-bodo
18) promise-oluwatobi-emmanuel-akinpelu: 12 pt (2-33)
   SQUADRA: union-saint-gilloise-bruxelles-brussels | AVVERSARIO: bodo-glimt-bodo
19) romeo-vermant: 12 pt (0-33)
   SQUADRA: club-brugge-brugge | AVVERSARIO: kortrijk-kortrijk
20) jarne-steuckers: 6 pt (1-12)
   SQUADRA: genk-genk | AVVERSARIO: zulte-waregem-waregem
21) yira-collins-sor: 6 pt (0-24)
   SQUADRA: genk-genk | AVVERSARIO: zulte-waregem-waregem

(2 esclusi/non disponibili questa giornata)
