Consiglio portieri — 2026-07-27 11:39Z

1) brent-gabriel: 60 pt (35-83)
   SQUADRA: zulte-waregem-waregem | AVVERSARIO: genk-genk
2) davy-roef: 56 pt (37-80)
   SQUADRA: gent-gent | AVVERSARIO: lnz-cherkasy-cherkasy
3) andreas-kristoffer-jungdal: 42 pt (28-69)
   SQUADRA: westerlo-westerlo | AVVERSARIO: union-saint-gilloise-bruxelles-brussels
4) leo-kokubo: 42 pt (29-57)
   SQUADRA: sint-truiden-sint-truiden-st-trond | AVVERSARIO: lommel-lommel
5) kjell-scherpen: 41 pt (22-63)
   SQUADRA: union-saint-gilloise-bruxelles-brussels | AVVERSARIO: bodo-glimt-bodo
6) colin-coosemans: 32 pt (25-40)
   SQUADRA: anderlecht-bruxelles-brussel | AVVERSARIO: hammarby-stockholm
7) lucca-kiaba-mounganga: 30 pt (10-52)
   SQUADRA: genk-genk | AVVERSARIO: zulte-waregem-waregem
8) ignacio-miras-blanco: 25 pt (0-56)
   SQUADRA: mechelen-mechelen-malines | AVVERSARIO: gent-gent
9) nordin-jackers: 8 pt (0-34)
   SQUADRA: club-brugge-brugge | AVVERSARIO: kortrijk-kortrijk
10) tristan-danique-van-den-heuvel: 8 pt (0-39)
   SQUADRA: club-brugge-brugge | AVVERSARIO: N/D
11) justin-heekeren: 3 pt (0-18)
   SQUADRA: anderlecht-bruxelles-brussel | AVVERSARIO: hammarby-stockholm
12) ortwin-de-wolf: 2 pt (0-10)
   SQUADRA: mechelen-mechelen-malines | AVVERSARIO: gent-gent

(0 esclusi/non disponibili questa giornata)
