Consiglio centrocampisti — 2026-07-27 11:40Z

1) dogucan-haspolat: 58 pt (44-83)
   SQUADRA: westerlo-westerlo | AVVERSARIO: union-saint-gilloise-bruxelles-brussels
2) ryotaro-ito: 58 pt (36-86)
   SQUADRA: sint-truiden-sint-truiden-st-trond | AVVERSARIO: lommel-lommel
3) hans-vanaken: 57 pt (46-70)
   SQUADRA: club-brugge-brugge | AVVERSARIO: kortrijk-kortrijk
4) anouar-ait-el-hadj: 52 pt (34-72)
   SQUADRA: union-saint-gilloise-bruxelles-brussels | AVVERSARIO: bodo-glimt-bodo
5) adem-zorgane: 51 pt (25-74)
   SQUADRA: union-saint-gilloise-bruxelles-brussels | AVVERSARIO: bodo-glimt-bodo
6) zakaria-el-ouahdi: 51 pt (37-73)
   SQUADRA: genk-genk | AVVERSARIO: zulte-waregem-waregem
7) fredrik-hammar: 48 pt (34-72)
   SQUADRA: mechelen-mechelen-malines | AVVERSARIO: gent-gent
8) abdoulaye-sissako: 47 pt (34-66)
   SQUADRA: sint-truiden-sint-truiden-st-trond | AVVERSARIO: lommel-lommel
9) aleksandar-stankovic-2005-08-03: 46 pt (33-63)
   SQUADRA: club-brugge-brugge | AVVERSARIO: kortrijk-kortrijk
10) bryan-heynen: 43 pt (35-53)
   SQUADRA: genk-genk | AVVERSARIO: zulte-waregem-waregem
11) tibe-de-vlieger: 42 pt (28-64)
   SQUADRA: gent-gent | AVVERSARIO: lnz-cherkasy-cherkasy
12) daan-heymans: 40 pt (13-56)
   SQUADRA: genk-genk | AVVERSARIO: zulte-waregem-waregem
13) konstantinos-karetsas: 30 pt (8-57)
   SQUADRA: genk-genk | AVVERSARIO: zulte-waregem-waregem
14) hugo-vetlesen: 29 pt (2-43)
   SQUADRA: club-brugge-brugge | AVVERSARIO: kortrijk-kortrijk
15) siebe-schrijvers: 26 pt (9-42)
   SQUADRA: oh-leuven-heverlee | AVVERSARIO: sporting-charleroi-charleroi
16) abdelhak-kadri: 24 pt (9-37)
   SQUADRA: gent-gent | AVVERSARIO: lnz-cherkasy-cherkasy
17) rob-schoofs: 22 pt (10-34)
   SQUADRA: union-saint-gilloise-bruxelles-brussels | AVVERSARIO: bodo-glimt-bodo
18) lawrence-agyekum: 20 pt (11-30)
   SQUADRA: cercle-brugge-brugge | AVVERSARIO: standard-liege-liege-luik
19) enric-llansana: 18 pt (5-30)
   SQUADRA: anderlecht-bruxelles-brussel | AVVERSARIO: hammarby-stockholm
20) jakob-napoleon-romsaas: 13 pt (2-24)
   SQUADRA: sporting-charleroi-charleroi | AVVERSARIO: oh-leuven-heverlee
21) ryan-dylan-merlen: 11 pt (10-29)
   SQUADRA: sint-truiden-sint-truiden-st-trond | AVVERSARIO: lommel-lommel
22) thomas-van-den-keybus: 8 pt (1-30)
   SQUADRA: westerlo-westerlo | AVVERSARIO: union-saint-gilloise-bruxelles-brussels
23) ousseynou-niang: 4 pt (0-37)
   SQUADRA: union-saint-gilloise-bruxelles-brussels | AVVERSARIO: bodo-glimt-bodo
24) maksim-kireev: 3 pt (0-13)
   SQUADRA: mechelen-mechelen-malines | AVVERSARIO: gent-gent
25) jules-ahoka-jules: 2 pt (2-2)
   SQUADRA: genk-genk | AVVERSARIO: N/D

(0 esclusi/non disponibili questa giornata)
