Consiglio difensori — 2026-07-27 10:32Z

1) stefan-peric: 53 pt (37-69)
   SQUADRA: gorica-velika-gorica | AVVERSARIO: osijek-osijek
2) ante-orec: 47 pt (34-72)
   SQUADRA: rijeka-rijeka | AVVERSARIO: derry-city-derry
3) ante-majstorovic: 41 pt (21-47)
   SQUADRA: rijeka-rijeka | AVVERSARIO: derry-city-derry
4) sergi-dominguez-viloria: 39 pt (22-58)
   SQUADRA: dinamo-zagreb-zagreb | AVVERSARIO: thun-thun
5) jakov-filipovic: 37 pt (27-54)
   SQUADRA: gorica-velika-gorica | AVVERSARIO: osijek-osijek
6) scott-mckenna: 36 pt (17-57)
   SQUADRA: dinamo-zagreb-zagreb | AVVERSARIO: thun-thun
7) stjepan-radeljic: 30 pt (8-46)
   SQUADRA: rijeka-rijeka | AVVERSARIO: N/D

(0 esclusi/non disponibili questa giornata)
