Consiglio centrocampisti — 2026-07-27 10:31Z

1) josip-misic-1994-06-28: 63 pt (46-77)
   SQUADRA: dinamo-zagreb-zagreb | AVVERSARIO: thun-thun
2) tiago-filipe-oliveira-dantas: 59 pt (36-81)
   SQUADRA: rijeka-rijeka | AVVERSARIO: derry-city-derry
3) luka-stojkovic: 44 pt (15-74)
   SQUADRA: dinamo-zagreb-zagreb | AVVERSARIO: thun-thun
4) rokas-pukstas: 41 pt (30-56)
   SQUADRA: hajduk-split-split | AVVERSARIO: paphos-paphos
5) miha-zajc: 40 pt (15-59)
   SQUADRA: dinamo-zagreb-zagreb | AVVERSARIO: thun-thun
6) amer-gojak: 35 pt (23-49)
   SQUADRA: rijeka-rijeka | AVVERSARIO: derry-city-derry
7) leon-belcar: 31 pt (18-46)
   SQUADRA: lokomotiva-zagreb-zagreb | AVVERSARIO: istra-1961-pula
8) niko-sigur: 25 pt (10-45)
   SQUADRA: hajduk-split-split | AVVERSARIO: paphos-paphos
9) niko-jankovic: 5 pt (5-5)
   SQUADRA: rijeka-rijeka | AVVERSARIO: derry-city-derry

(0 esclusi/non disponibili questa giornata)
