Consiglio difensori — 2026-07-27 14:10Z

1) maurice-neubauer: 45 pt (18-71)
   SQUADRA: hannover-96-hannover | AVVERSARIO: energie-cottbus-cottbus
2) michael-steinwender: 35 pt (20-53)
   SQUADRA: hearts-edinburgh | AVVERSARIO: N/D
3) patric-pfeiffer: 35 pt (12-53)
   SQUADRA: darmstadt-98-darmstadt | AVVERSARIO: holstein-kiel-kiel
4) marton-dardai: 34 pt (17-51)
   SQUADRA: hertha-bsc-berlin | AVVERSARIO: bochum-bochum
5) jacob-rasmussen: 33 pt (0-73)
   SQUADRA: kaiserslautern-kaiserslautern | AVVERSARIO: wolfsburg-wolfsburg
6) mika-haas: 33 pt (18-45)
   SQUADRA: kaiserslautern-kaiserslautern | AVVERSARIO: wolfsburg-wolfsburg
7) jan-elvedi: 32 pt (19-50)
   SQUADRA: greuther-furth-furth | AVVERSARIO: N/D
8) paul-joly: 30 pt (14-48)
   SQUADRA: kaiserslautern-kaiserslautern | AVVERSARIO: wolfsburg-wolfsburg
9) maximilian-grosser: 29 pt (12-51)
   SQUADRA: arminia-bielefeld-bielefeld | AVVERSARIO: karlsruher-sc-karlsruhe
10) virgil-eugen-ghita: 27 pt (13-36)
   SQUADRA: hannover-96-hannover | AVVERSARIO: energie-cottbus-cottbus
11) hayate-matsuda: 14 pt (0-35)
   SQUADRA: hannover-96-hannover | AVVERSARIO: energie-cottbus-cottbus
12) felix-hagmann: 13 pt (9-25)
   SQUADRA: arminia-bielefeld-bielefeld | AVVERSARIO: karlsruher-sc-karlsruhe
13) andi-hoti: 11 pt (2-34)
   SQUADRA: eintracht-braunschweig-braunschweig | AVVERSARIO: magdeburg-magdeburg
14) julian-eitschberger: 11 pt (0-39)
   SQUADRA: hertha-bsc-berlin | AVVERSARIO: bochum-bochum

(1 esclusi/non disponibili questa giornata)
