Consiglio attaccanti — 2026-07-27 14:09Z

1) baris-atik: 60 pt (42-76)
   SQUADRA: magdeburg-magdeburg | AVVERSARIO: eintracht-braunschweig-braunschweig
2) mustapha-bundu: 17 pt (0-36)
   SQUADRA: hannover-96-hannover | AVVERSARIO: energie-cottbus-cottbus
3) daniel-hanslik: 12 pt (1-31)
   SQUADRA: kaiserslautern-kaiserslautern | AVVERSARIO: N/D
4) sebastian-gronning: 6 pt (0-30)
   SQUADRA: hertha-bsc-berlin | AVVERSARIO: bochum-bochum
5) fynn-luca-lakenmacher: 4 pt (0-16)
   SQUADRA: darmstadt-98-darmstadt | AVVERSARIO: holstein-kiel-kiel
6) yosuke-furukawa: 2 pt (2-2)
   SQUADRA: preussen-munster-munster | AVVERSARIO: N/D

(0 esclusi/non disponibili questa giornata)
