Consiglio centrocampisti — 2026-07-27 14:09Z

1) marvin-wanitzek: 68 pt (45-102)
   SQUADRA: karlsruher-sc-karlsruhe | AVVERSARIO: arminia-bielefeld-bielefeld
2) niklas-dorsch: 48 pt (29-68)
   SQUADRA: heidenheim-heidenheim-an-der-brenz | AVVERSARIO: osnabruck-osnabruck
3) marlon-ritter: 44 pt (24-71)
   SQUADRA: kaiserslautern-kaiserslautern | AVVERSARIO: wolfsburg-wolfsburg
4) naatan-skytta: 35 pt (19-54)
   SQUADRA: kaiserslautern-kaiserslautern | AVVERSARIO: wolfsburg-wolfsburg
5) nicolai-rapp: 22 pt (9-29)
   SQUADRA: karlsruher-sc-karlsruhe | AVVERSARIO: N/D

(0 esclusi/non disponibili questa giornata)
