Consiglio difensori — 2026-07-27 14:16Z

1) matheus-soares-thuler: 47 pt (18-85)
   SQUADRA: vissel-kobe-kobe | AVVERSARIO: avispa-fukuoka-fukuoka
2) takayuki-mae: 44 pt (35-55)
   SQUADRA: jef-united-chiba | AVVERSARIO: sanfrecce-hiroshima-hiroshima
3) shuto-nakano: 43 pt (18-64)
   SQUADRA: sanfrecce-hiroshima-hiroshima | AVVERSARIO: jef-united-chiba
4) yuta-nakayama: 40 pt (14-59)
   SQUADRA: machida-zelvia-tokyo | AVVERSARIO: tokyo-tokyo
5) tsukasa-shiotani: 39 pt (14-58)
   SQUADRA: sanfrecce-hiroshima-hiroshima | AVVERSARIO: jef-united-chiba
6) gotoku-sakai: 30 pt (14-49)
   SQUADRA: vissel-kobe-kobe | AVVERSARIO: avispa-fukuoka-fukuoka
7) taichi-yamasaki: 23 pt (9-36)
   SQUADRA: sanfrecce-hiroshima-hiroshima | AVVERSARIO: jef-united-chiba
8) henry-heroki-mochizuki: 19 pt (4-36)
   SQUADRA: machida-zelvia-tokyo | AVVERSARIO: tokyo-tokyo

(0 esclusi/non disponibili questa giornata)
