Consiglio difensori — 2026-07-27 14:24Z

1) taiyo-koga: 63 pt (44-89)
   SQUADRA: kashiwa-reysol-kashiwa-chiba | AVVERSARIO: mito-hollyhock-mito
2) alexander-scholz: 54 pt (31-76)
   SQUADRA: tokyo-tokyo | AVVERSARIO: machida-zelvia-tokyo
3) naomichi-ueda: 54 pt (43-65)
   SQUADRA: kashima-antlers-kashima-ibaraki | AVVERSARIO: yokohama-f-marinos-yokohama
4) yota-sato: 51 pt (32-71)
   SQUADRA: nagoya-grampus-nagoya | AVVERSARIO: shimizu-s-pulse-shizuoka
5) ryotaro-tsunoda: 49 pt (38-61)
   SQUADRA: yokohama-f-marinos-yokohama | AVVERSARIO: kashima-antlers-kashima-ibaraki
6) haruya-fujii: 46 pt (20-72)
   SQUADRA: nagoya-grampus-nagoya | AVVERSARIO: shimizu-s-pulse-shizuoka
7) daiki-fukazawa: 45 pt (24-77)
   SQUADRA: tokyo-verdy-tokyo | AVVERSARIO: N/D
8) jeison-estiven-quinones-botina: 45 pt (25-72)
   SQUADRA: yokohama-f-marinos-yokohama | AVVERSARIO: kashima-antlers-kashima-ibaraki
9) kimito-nono: 45 pt (31-66)
   SQUADRA: kashima-antlers-kashima-ibaraki | AVVERSARIO: yokohama-f-marinos-yokohama
10) wataru-harada: 42 pt (23-49)
   SQUADRA: kashiwa-reysol-kashiwa-chiba | AVVERSARIO: mito-hollyhock-mito
11) danilo-boza-junior: 41 pt (21-57)
   SQUADRA: urawa-reds-saitama | AVVERSARIO: gamba-osaka-suita-shi-suita
12) hayato-inamura: 40 pt (26-56)
   SQUADRA: tokyo-tokyo | AVVERSARIO: machida-zelvia-tokyo
13) yoshinori-suzuki: 40 pt (22-68)
   SQUADRA: kyoto-sanga-kyoto-kyoto | AVVERSARIO: v-varen-nagasaki-isahaya
14) daiki-sugioka: 28 pt (1-39)
   SQUADRA: kashiwa-reysol-kashiwa-chiba | AVVERSARIO: mito-hollyhock-mito
15) kenta-nemoto: 20 pt (0-52)
   SQUADRA: urawa-reds-saitama | AVVERSARIO: gamba-osaka-suita-shi-suita

(1 esclusi/non disponibili questa giornata)
