Consiglio centrocampisti — 2026-07-27 14:25Z

1) yoshio-koizumi: 64 pt (43-80)
   SQUADRA: kashiwa-reysol-kashiwa-chiba | AVVERSARIO: mito-hollyhock-mito
2) sho-inagaki: 60 pt (36-82)
   SQUADRA: nagoya-grampus-nagoya | AVVERSARIO: shimizu-s-pulse-shizuoka
3) shuto-abe: 59 pt (43-92)
   SQUADRA: gamba-osaka-suita-shi-suita | AVVERSARIO: urawa-reds-saitama
4) tomoya-miki: 58 pt (42-79)
   SQUADRA: avispa-fukuoka-fukuoka | AVVERSARIO: vissel-kobe-kobe
5) jordy-croux: 54 pt (34-73)
   SQUADRA: yokohama-f-marinos-yokohama | AVVERSARIO: kashima-antlers-kashima-ibaraki
6) yasuto-wakizaka: 49 pt (35-63)
   SQUADRA: kawasaki-frontale-kawasaki | AVVERSARIO: tokyo-verdy-tokyo
7) ataru-esaka: 46 pt (30-61)
   SQUADRA: fagiano-okayama-okayama | AVVERSARIO: cerezo-osaka-osaka-osaka
8) matheus-goncalves-savio: 41 pt (23-61)
   SQUADRA: urawa-reds-saitama | AVVERSARIO: gamba-osaka-suita-shi-suita
9) keita-endo: 40 pt (25-66)
   SQUADRA: tokyo-tokyo | AVVERSARIO: N/D
10) yuki-yamamoto: 40 pt (30-47)
   SQUADRA: kawasaki-frontale-kawasaki | AVVERSARIO: tokyo-verdy-tokyo
11) ryoma-watanabe: 33 pt (23-65)
   SQUADRA: urawa-reds-saitama | AVVERSARIO: gamba-osaka-suita-shi-suita
12) yoshiki-torikai: 23 pt (11-40)
   SQUADRA: mito-hollyhock-mito | AVVERSARIO: kashiwa-reysol-kashiwa-chiba
13) chihiro-kato: 19 pt (4-40)
   SQUADRA: mito-hollyhock-mito | AVVERSARIO: kashiwa-reysol-kashiwa-chiba
14) rei-hirakawa: 16 pt (7-20)
   SQUADRA: tokyo-verdy-tokyo | AVVERSARIO: kawasaki-frontale-kawasaki
15) tojiro-kubo: 10 pt (0-27)
   SQUADRA: kashiwa-reysol-kashiwa-chiba | AVVERSARIO: mito-hollyhock-mito
16) shu-kurata: 8 pt (1-13)
   SQUADRA: gamba-osaka-suita-shi-suita | AVVERSARIO: urawa-reds-saitama
17) yuta-higuchi: 8 pt (8-8)
   SQUADRA: kashima-antlers-kashima-ibaraki | AVVERSARIO: yokohama-f-marinos-yokohama
18) tokuma-suzuki: 4 pt (4-4)
   SQUADRA: gamba-osaka-suita-shi-suita | AVVERSARIO: urawa-reds-saitama

(2 esclusi/non disponibili questa giornata)
