Consiglio portieri — 2026-07-26 14:48Z

1) cheong-hyo-park: 66 pt (44-83)
   SQUADRA: gangwon-gangneung | AVVERSARIO: bucheon-1995-bucheon
2) chang-geun-lee: 55 pt (38-78)
   SQUADRA: daejeon-citizen-daejeon | AVVERSARIO: gwangju-gwangju
3) in-jae-hwang: 48 pt (31-72)
   SQUADRA: pohang-steelers-pohang | AVVERSARIO: sangju-sangmu-sangju
4) jeong-hoon-kim-2001-04-20: 47 pt (32-67)
   SQUADRA: anyang-anyang | AVVERSARIO: ulsan-ulsan
5) jong-bum-baek: 45 pt (35-48)
   SQUADRA: sangju-sangmu-sangju | AVVERSARIO: pohang-steelers-pohang
6) hyun-woo-cho: 42 pt (31-53)
   SQUADRA: ulsan-ulsan | AVVERSARIO: anyang-anyang
7) sung-yun-gu: 41 pt (26-61)
   SQUADRA: seoul-seoul | AVVERSARIO: jeonbuk-motors-jeonju
8) dong-jun-kim: 39 pt (25-59)
   SQUADRA: jeju-united-seogwipo-jeju-do | AVVERSARIO: incheon-united-incheon
9) dong-heon-kim: 37 pt (26-48)
   SQUADRA: incheon-united-incheon | AVVERSARIO: jeju-united-seogwipo-jeju-do
10) kyung-min-kim: 35 pt (17-64)
   SQUADRA: gwangju-gwangju | AVVERSARIO: daejeon-citizen-daejeon
11) bum-keun-song: 33 pt (16-46)
   SQUADRA: jeonbuk-motors-jeonju | AVVERSARIO: seoul-seoul
12) hyung-geun-kim: 19 pt (3-42)
   SQUADRA: bucheon-1995-bucheon | AVVERSARIO: gangwon-gangneung
13) ju-hyun-lee: 13 pt (7-29)
   SQUADRA: sangju-sangmu-sangju | AVVERSARIO: N/D
14) hyeon-yeop-kim: 7 pt (0-28)
   SQUADRA: bucheon-1995-bucheon | AVVERSARIO: gangwon-gangneung
15) hong-seong-min: 4 pt (0-24)
   SQUADRA: pohang-steelers-pohang | AVVERSARIO: sangju-sangmu-sangju

(0 esclusi/non disponibili questa giornata)
