Consiglio centrocampisti — 2026-07-26 16:30Z

1) bong-soo-kim: 59 pt (47-69)
   SQUADRA: daejeon-citizen-daejeon | AVVERSARIO: gwangju-gwangju
2) min-seo-moon: 57 pt (42-71)
   SQUADRA: gwangju-gwangju | AVVERSARIO: daejeon-citizen-daejeon
3) seo-jae-min: 57 pt (42-75)
   SQUADRA: incheon-united-incheon | AVVERSARIO: jeju-united-seogwipo-jeju-do
4) matheus-oliveira-santos: 53 pt (33-74)
   SQUADRA: anyang-anyang | AVVERSARIO: ulsan-ulsan
5) juan-antonio-ros-martinez: 51 pt (34-70)
   SQUADRA: seoul-seoul | AVVERSARIO: jeonbuk-motors-jeonju
6) hyun-taek-cho: 43 pt (29-67)
   SQUADRA: ulsan-ulsan | AVVERSARIO: anyang-anyang
7) dong-kyung-lee: 42 pt (31-51)
   SQUADRA: ulsan-ulsan | AVVERSARIO: anyang-anyang
8) tae-joon-park: 42 pt (31-50)
   SQUADRA: sangju-sangmu-sangju | AVVERSARIO: pohang-steelers-pohang
9) hrvoje-babec: 41 pt (29-61)
   SQUADRA: seoul-seoul | AVVERSARIO: jeonbuk-motors-jeonju
10) gyu-seong-lee: 39 pt (26-57)
   SQUADRA: ulsan-ulsan | AVVERSARIO: anyang-anyang
11) darijan-bojanic: 32 pt (12-52)
   SQUADRA: ulsan-ulsan | AVVERSARIO: anyang-anyang
12) jae-hyeok-oh: 32 pt (17-49)
   SQUADRA: jeju-united-seogwipo-jeju-do | AVVERSARIO: incheon-united-incheon
13) jin-gyu-kim: 25 pt (15-37)
   SQUADRA: jeonbuk-motors-jeonju | AVVERSARIO: seoul-seoul
14) kyoung-rok-choi: 20 pt (10-46)
   SQUADRA: gwangju-gwangju | AVVERSARIO: daejeon-citizen-daejeon
15) seong-ung-maeng: 15 pt (6-19)
   SQUADRA: sangju-sangmu-sangju | AVVERSARIO: N/D
16) ka-ram-han: 13 pt (5-19)
   SQUADRA: anyang-anyang | AVVERSARIO: ulsan-ulsan
17) jun-ha-kim: 10 pt (4-16)
   SQUADRA: jeju-united-seogwipo-jeju-do | AVVERSARIO: incheon-united-incheon
18) seong-woo-moon: 4 pt (0-32)
   SQUADRA: anyang-anyang | AVVERSARIO: ulsan-ulsan
19) joao-pedro-costa-gamboa: 2 pt (0-5)
   SQUADRA: jeonbuk-motors-jeonju | AVVERSARIO: seoul-seoul

(3 esclusi/non disponibili questa giornata)
