Consiglio difensori — 2026-07-25 09:06Z

1) antino-lopez: 86 pt (63-110)
2) maxwell-woledzi: 71 pt (58-83)
3) mamadou-fofana: 66 pt (41-92)
4) andy-aryel-najar-rodriguez: 61 pt (33-89)
5) ryan-hollingshead: 61 pt (45-77)
6) micael-dos-santos-silva: 49 pt (28-70)
7) tomas-totland: 49 pt (24-74)
8) shaquell-moore: 46 pt (27-65)
9) william-sands: 45 pt (25-66)
10) nico-cavallo: 44 pt (24-64)
11) nolan-norris: 44 pt (17-71)
12) tayvon-gray: 44 pt (23-65)
13) ian-fray: 39 pt (18-60)
14) jamar-ricketts: 39 pt (9-69)
15) christopher-mcvey: 38 pt (13-64)
16) daniel-munie: 37 pt (16-57)
17) reid-roberts: 37 pt (16-58)
18) tristan-blackmon: 37 pt (20-54)
19) michael-boxall: 35 pt (23-46)
20) adrian-marin-gomez: 34 pt (14-53)
21) mathias-nicolas-laborda-malsenido: 32 pt (6-57)
22) or-blorian: 32 pt (22-42)
23) andrew-gutman: 24 pt (4-44)
24) kyle-duncan: 22 pt (-3-47)
25) brayan-andres-ceballos-jimenez: 21 pt (-5-46)

(50 esclusi/non disponibili questa giornata)
