Consiglio attaccanti — 2026-07-26 13:46Z

1) lionel-andres-messi-cuccittini: 78 pt (63-95)
   SQUADRA: inter-miami | AVVERSARIO: columbus-crew-columbus-ohio
2) rafael-navarro-leal: 63 pt (44-87)
   SQUADRA: colorado-rapids-denver-colorado | AVVERSARIO: austin-austin-texas
3) dor-david-turgeman: 56 pt (37-80)
   SQUADRA: new-england-foxborough-massachusetts | AVVERSARIO: montreal-impact-montreal-quebec
4) philip-zinckernagel: 54 pt (29-81)
   SQUADRA: chicago-fire-bridgeview-illinois | AVVERSARIO: charlotte-fc-charlotte-north-carolina
5) julian-hall-2008-03-24: 51 pt (34-74)
   SQUADRA: new-york-rb-secaucus-new-jersey | AVVERSARIO: orlando-city-lake-mary-florida
6) cristian-omar-espinoza: 48 pt (27-65)
   SQUADRA: nashville-sc | AVVERSARIO: dc-united-washington-district-of-columbia
7) denis-bouanga: 44 pt (20-81)
   SQUADRA: los-angeles-fc-los-angeles-california | AVVERSARIO: vancouver-whitecaps-vancouver-british-columbia
8) hannes-wolf: 42 pt (24-58)
   SQUADRA: new-york-city-new-york-new-york | AVVERSARIO: toronto-toronto
9) maximilian-arfsten: 42 pt (27-61)
   SQUADRA: columbus-crew-columbus-ohio | AVVERSARIO: inter-miami
10) antoine-griezmann: 41 pt (25-58)
   SQUADRA: atletico-madrid-madrid | AVVERSARIO: N/D
11) heung-min-son: 41 pt (22-63)
   SQUADRA: los-angeles-fc-los-angeles-california | AVVERSARIO: vancouver-whitecaps-vancouver-british-columbia
12) brian-white: 38 pt (20-65)
   SQUADRA: vancouver-whitecaps-vancouver-british-columbia | AVVERSARIO: los-angeles-fc-los-angeles-california
13) luca-daniel-langoni: 38 pt (16-56)
   SQUADRA: new-england-foxborough-massachusetts | AVVERSARIO: montreal-impact-montreal-quebec
14) prince-osei-owusu: 37 pt (11-73)
   SQUADRA: montreal-impact-montreal-quebec | AVVERSARIO: new-england-foxborough-massachusetts
15) ousseni-bouda: 36 pt (17-50)
   SQUADRA: sj-earthquakes-santa-clara-california | AVVERSARIO: cincinnati-cincinnati-ohio
16) thomas-muller: 36 pt (17-60)
   SQUADRA: vancouver-whitecaps-vancouver-british-columbia | AVVERSARIO: los-angeles-fc-los-angeles-california
17) amahl-pellegrino: 35 pt (25-52)
   SQUADRA: san-diego-san-diego | AVVERSARIO: minnesota-united-minneapolis-saint-paul-minnesota
18) bernard-kamungo: 34 pt (19-58)
   SQUADRA: dallas-frisco-texas | AVVERSARIO: la-galaxy-los-angeles-california
19) logan-farrington: 34 pt (15-57)
   SQUADRA: dallas-frisco-texas | AVVERSARIO: la-galaxy-los-angeles-california
20) jahkeele-marshall-rutty: 32 pt (15-47)
   SQUADRA: new-york-rb-secaucus-new-jersey | AVVERSARIO: orlando-city-lake-mary-florida
21) sam-surridge: 32 pt (13-53)
   SQUADRA: nashville-sc | AVVERSARIO: dc-united-washington-district-of-columbia
22) thai-baribo: 32 pt (11-48)
   SQUADRA: dc-united-washington-district-of-columbia | AVVERSARIO: nashville-sc
23) david-enmanuel-martinez-morales: 30 pt (15-42)
   SQUADRA: los-angeles-fc-los-angeles-california | AVVERSARIO: vancouver-whitecaps-vancouver-british-columbia
24) marcus-ingvartsen: 29 pt (12-48)
   SQUADRA: san-diego-san-diego | AVVERSARIO: minnesota-united-minneapolis-saint-paul-minnesota
25) darren-yapi: 26 pt (10-45)
   SQUADRA: colorado-rapids-denver-colorado | AVVERSARIO: austin-austin-texas
26) ender-jesus-echenique-pena: 26 pt (11-48)
   SQUADRA: cincinnati-cincinnati-ohio | AVVERSARIO: sj-earthquakes-santa-clara-california
27) jonathan-bamba: 26 pt (4-47)
   SQUADRA: chicago-fire-bridgeview-illinois | AVVERSARIO: charlotte-fc-charlotte-north-carolina
28) georgi-minoungou: 23 pt (16-27)
   SQUADRA: colorado-rapids-denver-colorado | AVVERSARIO: austin-austin-texas
29) griffin-yow: 23 pt (17-30)
   SQUADRA: new-england-foxborough-massachusetts | AVVERSARIO: montreal-impact-montreal-quebec
30) robert-lewandowski: 23 pt (8-43)
   SQUADRA: barcelona-barcelona | AVVERSARIO: N/D
31) emilio-aristizabal-chavarriaga: 10 pt (3-26)
   SQUADRA: toronto-toronto | AVVERSARIO: new-york-city-new-york-new-york
32) liel-abada: 10 pt (0-29)
   SQUADRA: charlotte-fc-charlotte-north-carolina | AVVERSARIO: chicago-fire-bridgeview-illinois
33) malachi-jones: 7 pt (0-25)
   SQUADRA: new-york-city-new-york-new-york | AVVERSARIO: toronto-toronto
34) tyler-boyd: 6 pt (0-29)
   SQUADRA: los-angeles-fc-los-angeles-california | AVVERSARIO: vancouver-whitecaps-vancouver-british-columbia
35) jacob-shaffelburg: 5 pt (3-7)
   SQUADRA: los-angeles-fc-los-angeles-california | AVVERSARIO: vancouver-whitecaps-vancouver-british-columbia
36) osaze-de-rosario: 5 pt (0-15)
   SQUADRA: seattle-sounders-renton-washington | AVVERSARIO: portland-timbers-portland-oregon
37) samuel-sarver: 4 pt (0-18)
   SQUADRA: dallas-frisco-texas | AVVERSARIO: la-galaxy-los-angeles-california
38) daniel-pinter-2007-06-06: 2 pt (2-2)
   SQUADRA: charlotte-fc-charlotte-north-carolina | AVVERSARIO: N/D

(1 esclusi/non disponibili questa giornata)
