Consiglio centrocampisti — 2026-07-25 18:54Z

1) jack-mcglynn: 88 pt (64-112)
2) marcel-hartel: 70 pt (42-97)
3) carles-gil-de-pareja-vicent: 68 pt (44-92)
4) yannick-bright: 68 pt (51-85)
5) sebastian-berhalter: 63 pt (39-87)
6) adrian-andres-cubas: 60 pt (38-83)
7) nicolas-fernandez-mercau: 59 pt (37-81)
8) albert-rusnak: 58 pt (39-76)
9) anders-dreyer: 56 pt (30-82)
10) marky-delgado: 56 pt (36-76)
11) nick-fernandez: 55 pt (52-59)
12) mathieu-choiniere: 54 pt (31-76)
13) chris-durkin: 53 pt (28-77)
14) hassani-dotson: 53 pt (29-77)
15) hany-mukhtar: 51 pt (25-77)
16) onni-valakari: 51 pt (23-79)
17) pep-biel-mas-jaume: 51 pt (24-78)
18) beau-leroux: 48 pt (30-67)
19) paxten-aaronson: 46 pt (26-67)
20) edvard-sandvik-tagseth: 43 pt (25-62)
21) emil-forsberg: 40 pt (21-59)
22) david-ruiz-2004-02-08: 39 pt (16-61)
23) jeppe-tverskov: 39 pt (6-72)
24) matt-polster: 38 pt (27-50)
25) matthew-james-corcoran: 38 pt (24-53)
26) aleksey-miranchuk: 29 pt (8-50)
27) anton-saletros: 25 pt (10-41)
28) shakur-mohammed: 21 pt (3-39)

(5 esclusi/non disponibili questa giornata)
