Consiglio difensori — 2026-07-27 12:17Z

1) jeff-hardeveld: 60 pt (40-81)
   SQUADRA: telstar-velsen-zuid | AVVERSARIO: nec-nijmegen
2) bart-van-rooij: 55 pt (42-63)
   SQUADRA: twente-enschede | AVVERSARIO: ferencvaros-budapest
3) thijmen-blokzijl: 54 pt (36-66)
   SQUADRA: groningen-groningen | AVVERSARIO: utrecht-utrecht
4) melle-meulensteen: 52 pt (40-62)
   SQUADRA: go-ahead-eagles-deventer | AVVERSARIO: willem-ii-tilburg
5) wouter-goes: 50 pt (38-58)
   SQUADRA: az-alkmaar | AVVERSARIO: ado-den-haag-den-haag
6) joris-kramer: 49 pt (25-65)
   SQUADRA: go-ahead-eagles-deventer | AVVERSARIO: willem-ii-tilburg
7) tsuyoshi-watanabe: 49 pt (35-64)
   SQUADRA: feyenoord-rotterdam | AVVERSARIO: sparta-rotterdam-rotterdam
8) mauro-jaqueson-junior-ferreira-dos-santos: 48 pt (27-62)
   SQUADRA: psv-eindhoven | AVVERSARIO: fortuna-sittard-sittard
9) marvin-young: 47 pt (27-72)
   SQUADRA: sparta-rotterdam-rotterdam | AVVERSARIO: feyenoord-rotterdam
10) alexandre-manuel-penetra-correia: 46 pt (24-65)
   SQUADRA: az-alkmaar | AVVERSARIO: ado-den-haag-den-haag
11) jordan-bos: 46 pt (30-73)
   SQUADRA: feyenoord-rotterdam | AVVERSARIO: sparta-rotterdam-rotterdam
12) mees-jacobus-wilhelmus-de-wit: 46 pt (28-66)
   SQUADRA: az-alkmaar | AVVERSARIO: ado-den-haag-den-haag
13) marco-rente: 43 pt (26-59)
   SQUADRA: groningen-groningen | AVVERSARIO: utrecht-utrecht
14) alfons-sampsted: 41 pt (24-65)
   SQUADRA: go-ahead-eagles-deventer | AVVERSARIO: willem-ii-tilburg
15) teo-quintero: 41 pt (20-66)
   SQUADRA: sparta-rotterdam-rotterdam | AVVERSARIO: feyenoord-rotterdam
16) simon-graves-jensen: 35 pt (25-51)
   SQUADRA: pec-zwolle-zwolle | AVVERSARIO: ajax-amsterdam
17) yarek-gasiorowski-hernandis: 35 pt (23-53)
   SQUADRA: psv-eindhoven | AVVERSARIO: fortuna-sittard-sittard
18) rick-meissen: 33 pt (20-50)
   SQUADRA: excelsior-rotterdam | AVVERSARIO: cambuur-leeuwarden
19) ryan-flamingo: 24 pt (0-38)
   SQUADRA: psv-eindhoven | AVVERSARIO: fortuna-sittard-sittard
20) nick-viergever: 20 pt (14-28)
   SQUADRA: utrecht-utrecht | AVVERSARIO: N/D
21) syb-van-ottele: 14 pt (0-31)
   SQUADRA: fortuna-sittard-sittard | AVVERSARIO: psv-eindhoven
22) givairo-read: 11 pt (0-36)
   SQUADRA: feyenoord-rotterdam | AVVERSARIO: sparta-rotterdam-rotterdam
23) gijs-smal: 10 pt (0-39)
   SQUADRA: feyenoord-rotterdam | AVVERSARIO: sparta-rotterdam-rotterdam
24) brayann-pereira: 9 pt (8-23)
   SQUADRA: nec-nijmegen | AVVERSARIO: olympiakos-piraeus-pireas-piraeus
25) mike-kleijn: 6 pt (0-22)
   SQUADRA: sparta-rotterdam-rotterdam | AVVERSARIO: feyenoord-rotterdam
26) hristiyan-ivaylov-petrov: 5 pt (3-7)
   SQUADRA: heerenveen-heerenveen-1920 | AVVERSARIO: twente-enschede

(1 esclusi/non disponibili questa giornata)
