Consiglio attaccanti — 2026-07-27 12:17Z

1) mika-marcel-godts: 68 pt (42-98)
   SQUADRA: ajax-amsterdam | AVVERSARIO: vojvodina-novi-sad
2) jacob-trenskow: 61 pt (40-77)
   SQUADRA: heerenveen-heerenveen-1920 | AVVERSARIO: twente-enschede
3) ivan-perisic: 56 pt (33-80)
   SQUADRA: psv-eindhoven | AVVERSARIO: fortuna-sittard-sittard
4) anis-hadj-moussa: 53 pt (36-74)
   SQUADRA: feyenoord-rotterdam | AVVERSARIO: sparta-rotterdam-rotterdam
5) yoann-cathline: 48 pt (32-71)
   SQUADRA: utrecht-utrecht | AVVERSARIO: groningen-groningen
6) daan-rots: 46 pt (22-68)
   SQUADRA: twente-enschede | AVVERSARIO: ferencvaros-budapest
7) steven-berghuis: 46 pt (32-69)
   SQUADRA: ajax-amsterdam | AVVERSARIO: vojvodina-novi-sad
8) ayase-ueda: 44 pt (26-63)
   SQUADRA: feyenoord-rotterdam | AVVERSARIO: sparta-rotterdam-rotterdam
9) thom-van-bergen: 44 pt (32-57)
   SQUADRA: groningen-groningen | AVVERSARIO: utrecht-utrecht
10) troy-parrott: 41 pt (19-62)
   SQUADRA: az-alkmaar | AVVERSARIO: ado-den-haag-den-haag
11) wout-weghorst: 41 pt (29-56)
   SQUADRA: ajax-amsterdam | AVVERSARIO: N/D
12) victor-edvardsen: 40 pt (23-63)
   SQUADRA: go-ahead-eagles-deventer | AVVERSARIO: willem-ii-tilburg
13) isak-jensen: 38 pt (28-50)
   SQUADRA: az-alkmaar | AVVERSARIO: ado-den-haag-den-haag
14) mitchell-van-bergen: 37 pt (22-52)
   SQUADRA: sparta-rotterdam-rotterdam | AVVERSARIO: feyenoord-rotterdam
15) dylan-vente: 28 pt (15-46)
   SQUADRA: heerenveen-heerenveen-1920 | AVVERSARIO: twente-enschede
16) sem-van-duijn: 26 pt (13-55)
   SQUADRA: telstar-velsen-zuid | AVVERSARIO: N/D
17) dennis-man: 24 pt (8-46)
   SQUADRA: psv-eindhoven | AVVERSARIO: fortuna-sittard-sittard
18) ro-zangelo-daal: 22 pt (15-37)
   SQUADRA: az-alkmaar | AVVERSARIO: ado-den-haag-den-haag
19) weslley-pinto-batista: 17 pt (9-21)
   SQUADRA: az-alkmaar | AVVERSARIO: ado-den-haag-den-haag
20) jaden-fernando-slory: 11 pt (1-26)
   SQUADRA: go-ahead-eagles-deventer | AVVERSARIO: willem-ii-tilburg
21) mayckel-lahdo: 6 pt (0-30)
   SQUADRA: nantes-la-chapelle-sur-erdre | AVVERSARIO: N/D
22) eser-gurbuz: 1 pt (1-1)
   SQUADRA: sparta-rotterdam-rotterdam | AVVERSARIO: N/D

(2 esclusi/non disponibili questa giornata)
