Consiglio portieri — 2026-07-27 12:14Z

1) jari-de-busser: 58 pt (39-81)
   SQUADRA: go-ahead-eagles-deventer | AVVERSARIO: N/D
2) tom-gerard-de-graaff: 50 pt (28-78)
   SQUADRA: pec-zwolle-zwolle | AVVERSARIO: ajax-amsterdam
3) vasileios-barkas: 46 pt (25-68)
   SQUADRA: utrecht-utrecht | AVVERSARIO: groningen-groningen
4) tjark-ernst: 44 pt (31-54)
   SQUADRA: hertha-bsc-berlin | AVVERSARIO: N/D
5) matej-kovar: 43 pt (26-59)
   SQUADRA: psv-eindhoven | AVVERSARIO: fortuna-sittard-sittard
6) ronald-koeman-jr: 43 pt (30-56)
   SQUADRA: telstar-velsen-zuid | AVVERSARIO: nec-nijmegen
7) joel-drommel: 42 pt (16-72)
   SQUADRA: sparta-rotterdam-rotterdam | AVVERSARIO: N/D
8) etienne-vaessen: 41 pt (21-72)
   SQUADRA: groningen-groningen | AVVERSARIO: utrecht-utrecht
9) gonzalo-alejandro-crettaz: 40 pt (30-46)
   SQUADRA: nec-nijmegen | AVVERSARIO: olympiakos-piraeus-pireas-piraeus
10) lars-unnerstall: 40 pt (27-50)
   SQUADRA: twente-enschede | AVVERSARIO: ferencvaros-budapest
11) rome-jayden-owusu-oduro: 30 pt (13-57)
   SQUADRA: az-alkmaar | AVVERSARIO: ado-den-haag-den-haag
12) jeroen-zoet: 19 pt (0-48)
   SQUADRA: az-alkmaar | AVVERSARIO: ado-den-haag-den-haag

(0 esclusi/non disponibili questa giornata)
