Consiglio difensori — 2026-07-27 10:35Z

1) jan-bednarek: 75 pt (51-95)
   SQUADRA: porto-porto | AVVERSARIO: alverca-alverca
2) alberto-oliveira-baio: 44 pt (30-66)
   SQUADRA: porto-porto | AVVERSARIO: alverca-alverca
3) jakub-piotr-kiwior: 44 pt (29-63)
   SQUADRA: porto-porto | AVVERSARIO: alverca-alverca
4) clement-lenglet: 36 pt (9-63)
   SQUADRA: atletico-madrid-madrid | AVVERSARIO: N/D
5) gustaf-lagerbielke: 34 pt (22-44)
   SQUADRA: sporting-braga-braga | AVVERSARIO: zeleznicar-pancevo-pancevo
6) samuel-elias-dahl: 30 pt (21-42)
   SQUADRA: benfica-lisboa | AVVERSARIO: st-gallen-st-gallen
7) leonardo-filipe-cruz-lelo: 15 pt (3-36)
   SQUADRA: sporting-braga-braga | AVVERSARIO: zeleznicar-pancevo-pancevo
8) dominik-prpic: 1 pt (1-1)
   SQUADRA: avs-vila-das-aves | AVVERSARIO: N/D

(1 esclusi/non disponibili questa giornata)
