Consiglio attaccanti — 2026-07-27 10:35Z

1) luis-javier-suarez-charris: 54 pt (20-72)
   SQUADRA: sporting-cp-lisboa | AVVERSARIO: estrela-amadora
2) pau-victor-delgado: 49 pt (30-71)
   SQUADRA: sporting-braga-braga | AVVERSARIO: zeleznicar-pancevo-pancevo
3) eduardo-gabriel-aquino-cossa: 43 pt (30-55)
   SQUADRA: porto-porto | AVVERSARIO: alverca-alverca
4) ricardo-jorge-luz-horta: 42 pt (27-55)
   SQUADRA: sporting-braga-braga | AVVERSARIO: zeleznicar-pancevo-pancevo
5) geny-cipriano-catamo: 36 pt (19-58)
   SQUADRA: sporting-cp-lisboa | AVVERSARIO: estrela-amadora
6) evangelos-pavlidis: 33 pt (23-49)
   SQUADRA: benfica-lisboa | AVVERSARIO: st-gallen-st-gallen
7) andre-miguel-valente-silva: 26 pt (14-50)
   SQUADRA: elche-elche | AVVERSARIO: N/D
8) gabriel-martinez-aguilera: 20 pt (9-42)
   SQUADRA: sporting-braga-braga | AVVERSARIO: zeleznicar-pancevo-pancevo
9) borja-sainz-eguskiza: 11 pt (0-46)
   SQUADRA: porto-porto | AVVERSARIO: alverca-alverca
10) william-gomes-carvalho-santos: 10 pt (0-23)
   SQUADRA: porto-porto | AVVERSARIO: alverca-alverca

(0 esclusi/non disponibili questa giornata)
