Consiglio portieri — 2026-07-27 10:35Z

1) diogo-meireles-costa: 67 pt (45-84)
   SQUADRA: porto-porto | AVVERSARIO: alverca-alverca
2) andre-filipe-magalhaes-ribeiro-ferreira: 38 pt (17-51)
   SQUADRA: moreirense-moreira-de-conegos | AVVERSARIO: sporting-braga-braga
3) anatolii-trubin: 37 pt (16-62)
   SQUADRA: benfica-lisboa | AVVERSARIO: st-gallen-st-gallen
4) lukas-hornicek: 32 pt (19-48)
   SQUADRA: sporting-braga-braga | AVVERSARIO: zeleznicar-pancevo-pancevo
5) claudio-pires-morais-ramos: 0 pt (0-0)
   SQUADRA: avs-vila-das-aves | AVVERSARIO: N/D

(0 esclusi/non disponibili questa giornata)
