Consiglio centrocampisti — 2026-07-27 10:35Z

1) rafael-alexandre-fernandes-ferreira-da-silva: 56 pt (42-74)
   SQUADRA: benfica-lisboa | AVVERSARIO: st-gallen-st-gallen
2) victor-mow-froholdt: 48 pt (29-63)
   SQUADRA: porto-porto | AVVERSARIO: alverca-alverca
3) pedro-antonio-pereira-goncalves: 34 pt (16-52)
   SQUADRA: sporting-cp-lisboa | AVVERSARIO: estrela-amadora
4) jakub-kaminski: 32 pt (12-62)
   SQUADRA: koln-koln | AVVERSARIO: N/D
5) gabriel-veiga-novas: 30 pt (10-51)
   SQUADRA: porto-porto | AVVERSARIO: alverca-alverca
6) in-beom-hwang: 26 pt (6-47)
   SQUADRA: feyenoord-rotterdam | AVVERSARIO: N/D
7) rodrigo-zalazar-martinez: 26 pt (1-56)
   SQUADRA: sporting-braga-braga | AVVERSARIO: zeleznicar-pancevo-pancevo
8) jean-baptiste-gorby-2002-07-25: 23 pt (14-32)
   SQUADRA: sporting-braga-braga | AVVERSARIO: zeleznicar-pancevo-pancevo
9) sergi-altimira-clavell: 18 pt (0-39)
   SQUADRA: real-betis-sevilla | AVVERSARIO: N/D
10) demir-ege-tiknaz: 15 pt (1-39)
   SQUADRA: sporting-braga-braga | AVVERSARIO: zeleznicar-pancevo-pancevo

(0 esclusi/non disponibili questa giornata)
