Consiglio difensori — 2026-07-27 10:29Z

1) kieran-tierney: 55 pt (26-77)
   SQUADRA: celtic-glasgow | AVVERSARIO: dundee-dundee
2) liam-scales: 53 pt (43-61)
   SQUADRA: celtic-glasgow | AVVERSARIO: dundee-dundee
3) harry-milne: 38 pt (22-56)
   SQUADRA: hearts-edinburgh | AVVERSARIO: sturm-graz-graz
4) emmanuel-fernandez: 36 pt (18-62)
   SQUADRA: rangers-glasgow | AVVERSARIO: dundee-united-dundee
5) auston-trusty: 35 pt (23-56)
   SQUADRA: celtic-glasgow | AVVERSARIO: dundee-dundee
6) connor-allan: 28 pt (15-42)
   SQUADRA: falkirk-falkirk | AVVERSARIO: st-mirren-paisley
7) stuart-findlay: 28 pt (7-51)
   SQUADRA: hearts-edinburgh | AVVERSARIO: sturm-graz-graz
8) john-souttar: 24 pt (8-40)
   SQUADRA: rangers-glasgow | AVVERSARIO: dundee-united-dundee
9) dujon-sterling: 20 pt (9-31)
   SQUADRA: rangers-glasgow | AVVERSARIO: dundee-united-dundee
10) imari-narain-samuels: 17 pt (5-33)
   SQUADRA: dundee-dundee | AVVERSARIO: celtic-glasgow

(0 esclusi/non disponibili questa giornata)
