Consiglio attaccanti — 2026-07-27 10:29Z

1) youssef-ramalho-chermiti: 45 pt (21-69)
   SQUADRA: rangers-glasgow | AVVERSARIO: dundee-united-dundee
2) hyun-jun-yang: 43 pt (26-58)
   SQUADRA: celtic-glasgow | AVVERSARIO: dundee-dundee
3) alexandros-kyziridis: 42 pt (29-49)
   SQUADRA: hearts-edinburgh | AVVERSARIO: sturm-graz-graz
4) claudio-rafael-soares-braga: 35 pt (15-61)
   SQUADRA: hearts-edinburgh | AVVERSARIO: sturm-graz-graz
5) lawrence-shankland: 34 pt (17-42)
   SQUADRA: hearts-edinburgh | AVVERSARIO: N/D
6) tawanda-jethro-maswanhise: 31 pt (21-50)
   SQUADRA: motherwell-motherwell | AVVERSARIO: hb-torshavn-streymoy
7) martin-boyle: 29 pt (16-44)
   SQUADRA: hibernian-edinburgh | AVVERSARIO: malisheva-malisheva-malisevo
8) djeidi-gassama: 26 pt (7-43)
   SQUADRA: rangers-glasgow | AVVERSARIO: dundee-united-dundee
9) oliver-antman: 2 pt (2-2)
   SQUADRA: rangers-glasgow | AVVERSARIO: dundee-united-dundee

(0 esclusi/non disponibili questa giornata)
