Consiglio centrocampisti — 2026-07-27 10:11Z

1) nicolas-raskin: 56 pt (30-82)
   SQUADRA: rangers-glasgow | AVVERSARIO: dundee-united-dundee
2) callum-mcgregor: 47 pt (33-60)
   SQUADRA: celtic-glasgow | AVVERSARIO: dundee-dundee
3) findlay-curtis: 37 pt (18-55)
   SQUADRA: kilmarnock-kilmarnock | AVVERSARIO: N/D
4) jamie-mcgrath: 35 pt (16-44)
   SQUADRA: hibernian-edinburgh | AVVERSARIO: malisheva-malisheva-malisevo
5) cameron-devlin: 34 pt (19-62)
   SQUADRA: hearts-edinburgh | AVVERSARIO: N/D
6) aaron-tshibola: 29 pt (8-42)
   SQUADRA: kilmarnock-kilmarnock | AVVERSARIO: st-johnstone-perth
7) lewis-smith-2000-03-16: 28 pt (15-44)
   SQUADRA: livingston-livingston | AVVERSARIO: N/D
8) lyall-cameron: 16 pt (5-22)
   SQUADRA: aberdeen-aberdeen | AVVERSARIO: N/D
9) reo-hatate: 13 pt (1-24)
   SQUADRA: celtic-glasgow | AVVERSARIO: dundee-dundee

(2 esclusi/non disponibili questa giornata)
