Consiglio centrocampisti — 2026-07-27 13:15Z

1) orkun-kokcu: 67 pt (43-89)
   SQUADRA: besiktas-istanbul | AVVERSARIO: midtjylland-herning
2) frederico-rodrigues-santos: 66 pt (50-90)
   SQUADRA: fenerbahce-istanbul | AVVERSARIO: gornik-zabrze-zabrze
3) anderson-souza-conceicao: 50 pt (22-77)
   SQUADRA: fenerbahce-istanbul | AVVERSARIO: gornik-zabrze-zabrze
4) matteo-guendouzi-olie: 49 pt (33-58)
   SQUADRA: fenerbahce-istanbul | AVVERSARIO: gornik-zabrze-zabrze

(11 esclusi/non disponibili questa giornata)
