Consiglio difensori — 2026-07-25 17:12Z

1) nouhou-tolo: 92 pt (65-118)
2) antino-lopez: 86 pt (63-110)
3) maxwell-woledzi: 71 pt (58-83)
4) mamadou-fofana: 66 pt (41-92)
5) andy-aryel-najar-rodriguez: 61 pt (33-89)
6) ryan-hollingshead: 61 pt (45-77)
7) jeisson-andres-palacios-murillo: 57 pt (37-77)
8) micael-dos-santos-silva: 49 pt (28-70)
9) tomas-totland: 49 pt (24-74)
10) shaquell-moore: 46 pt (27-65)
11) william-sands: 45 pt (25-66)
12) nico-cavallo: 44 pt (24-64)
13) tayvon-gray: 44 pt (23-65)
14) rob-holding: 40 pt (19-62)
15) ian-fray: 39 pt (18-60)
16) jamar-ricketts: 39 pt (9-69)
17) christopher-mcvey: 38 pt (13-64)
18) daniel-munie: 37 pt (16-57)
19) reid-roberts: 37 pt (16-58)
20) tristan-blackmon: 37 pt (20-54)
21) walker-zimmerman: 37 pt (10-64)
22) michael-boxall: 35 pt (23-46)
23) adrian-marin-gomez: 34 pt (14-53)
24) harry-toffolo: 32 pt (11-53)
25) mathias-nicolas-laborda-malsenido: 32 pt (6-57)
26) or-blorian: 32 pt (22-42)
27) david-brekalo: 31 pt (1-61)
28) anthony-markanich: 29 pt (9-48)
29) joel-waterman: 28 pt (7-49)
30) andrew-gutman: 24 pt (4-44)
31) kyle-duncan: 22 pt (-3-47)
32) brayan-andres-ceballos-jimenez: 21 pt (-5-46)
33) jack-elliott: 20 pt (-10-51)

(63 esclusi/non disponibili questa giornata)
