Consiglio attaccanti — 2026-07-25 17:06Z

1) denis-bouanga: 70 pt (41-100)
2) thai-baribo: 61 pt (36-87)
3) heung-min-son: 60 pt (37-83)
4) antoine-griezmann: 56 pt (33-78)
5) luca-daniel-langoni: 55 pt (29-81)
6) dor-david-turgeman: 54 pt (28-80)
7) logan-farrington: 50 pt (24-76)
8) ousseni-bouda: 47 pt (22-72)
9) brian-white: 44 pt (11-76)
10) philip-zinckernagel: 44 pt (13-76)
11) julian-hall-2008-03-24: 41 pt (14-68)
12) sam-surridge: 41 pt (15-68)
13) thomas-muller: 39 pt (11-67)
14) marcus-ingvartsen: 38 pt (14-62)
15) rafael-navarro-leal: 38 pt (14-62)
16) georgi-minoungou: 35 pt (27-44)
17) prince-osei-owusu: 35 pt (0-69)
18) jahkeele-marshall-rutty: 34 pt (8-60)
19) jacob-shaffelburg: 33 pt (31-35)
20) robert-lewandowski: 33 pt (8-58)
21) maximilian-arfsten: 25 pt (-1-51)

(33 esclusi/non disponibili questa giornata)
