Consiglio centrocampisti — 2026-07-25 08:31Z

1) marcel-hartel: 75 pt (47-102)
2) yannick-bright: 74 pt (57-91)
3) carles-gil-de-pareja-vicent: 67 pt (43-91)
4) nicolas-fernandez-mercau: 61 pt (40-83)
5) albert-rusnak: 60 pt (42-79)
6) adrian-andres-cubas: 56 pt (34-79)
7) chris-durkin: 55 pt (31-80)
8) nick-fernandez: 55 pt (52-59)
9) pep-biel-mas-jaume: 50 pt (22-77)
10) beau-leroux: 48 pt (29-67)
11) onni-valakari: 48 pt (20-76)
12) paxten-aaronson: 45 pt (24-66)
13) jeppe-tverskov: 44 pt (11-77)
14) hassani-dotson: 42 pt (18-66)
15) matt-polster: 39 pt (28-51)
16) david-ruiz-2004-02-08: 34 pt (11-56)
17) anton-saletros: 23 pt (7-38)
18) shakur-mohammed: 19 pt (1-36)

(34 esclusi/non disponibili questa giornata)
